Values recorded at: 25-Nov-2012 19:44:13

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

      11.699	      6.846	      0.000	      0.000	      0.015	      0.554	
      11.620	      6.798	      0.000	      0.000	      0.016	      0.560	
      11.699	      7.167	      0.001	      0.000	      0.015	      0.558	
      11.681	      6.826	      0.001	      0.000	      0.016	      0.547	
      11.563	      6.795	      0.001	      0.000	      0.015	      0.529	
      11.598	      7.141	      0.001	      0.000	      0.015	      0.550	
      11.636	      6.942	      0.000	      0.000	      0.016	      0.561	
      11.829	      6.945	      0.001	      0.000	      0.015	      0.532	
      11.617	      6.874	      0.001	      0.000	      0.015	      0.551	
      11.762	      7.072	      0.001	      0.000	      0.015	      0.555	
      11.766	      6.713	      0.000	      0.000	      0.018	      0.563	
      11.673	      6.561	      0.001	      0.000	      0.015	      0.551	
      11.598	      6.910	      0.001	      0.000	      0.015	      0.549	
      11.775	      6.894	      0.000	      0.000	      0.017	      0.552	
      11.776	      7.037	      0.000	      0.000	      0.016	      0.555	
      11.541	      6.848	      0.000	      0.000	      0.018	      0.556	
      11.702	      6.828	      0.000	      0.000	      0.016	      0.551	
      11.629	      6.885	      0.000	      0.000	      0.017	      0.562	
      11.529	      6.791	      0.001	      0.000	      0.015	      0.557	
      11.559	      6.833	      0.001	      0.000	      0.016	      0.530	
      11.855	      6.890	      0.001	      0.000	      0.016	      0.554	
      11.518	      6.768	      0.000	      0.000	      0.015	      0.546	
      11.753	      6.890	      0.001	      0.000	      0.015	      0.564	
      11.601	      6.907	      0.001	      0.000	      0.015	      0.545	
      11.603	      6.753	      0.001	      0.000	      0.017	      0.554	
      11.486	      6.506	      0.000	      0.000	      0.019	      0.552	
      11.699	      7.024	      0.000	      0.000	      0.019	      0.571	
      11.581	      6.764	      0.001	      0.000	      0.019	      0.566	
      11.676	      6.826	      0.000	      0.000	      0.015	      0.585	
      11.650	      6.694	      0.000	      0.000	      0.016	      0.548	
      11.492	      7.117	      0.000	      0.000	      0.016	      0.555	
      11.648	      6.843	      0.000	      0.000	      0.015	      0.549	
      11.553	      6.654	      0.001	      0.000	      0.017	      0.559	
      11.632	      6.930	      0.000	      0.000	      0.015	      0.558	
      11.554	      6.790	      0.000	      0.000	      0.017	      0.545	
      11.613	      7.072	      0.000	      0.000	      0.016	      0.556	
      11.654	      6.819	      0.000	      0.000	      0.015	      0.561	
      11.647	      6.942	      0.000	      0.000	      0.015	      0.560	
      11.664	      6.832	      0.000	      0.000	      0.016	      0.557	
      11.595	      6.448	      0.000	      0.000	      0.015	      0.529	
      11.679	      6.884	      0.000	      0.000	      0.016	      0.548	
      11.580	      6.913	      0.001	      0.000	      0.016	      0.555	
      11.580	      6.831	      0.000	      0.000	      0.015	      0.561	
      11.572	      6.685	      0.000	      0.000	      0.015	      0.559	
      11.667	      6.730	      0.001	      0.000	      0.018	      0.573	
      11.661	      6.860	      0.000	      0.000	      0.015	      0.547	
      11.684	      6.821	      0.000	      0.000	      0.016	      0.571	
      11.762	      7.137	      0.000	      0.000	      0.016	      0.560	
      11.864	      7.140	      0.000	      0.000	      0.018	      0.542	
      11.523	      6.975	      0.000	      0.000	      0.016	      0.585	
      12.135	      7.082	      0.000	      0.000	      0.015	      0.604	
      11.457	      6.854	      0.000	      0.000	      0.016	      0.561	
      11.503	      6.757	      0.000	      0.000	      0.017	      0.541	
      11.838	      6.987	      0.000	      0.000	      0.016	      0.566	
      11.666	      6.884	      0.000	      0.000	      0.016	      0.533	
      11.602	      6.813	      0.001	      0.000	      0.015	      0.544	
      11.752	      7.247	      0.001	      0.001	      0.017	      0.555	
      11.639	      6.734	      0.001	      0.000	      0.016	      0.548	
