Values recorded at: 05-Dec-2012 21:21:59

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       9.947	      0.779	      0.000	      0.000	      0.014	      0.360	
      10.933	      0.778	      0.001	      0.000	      0.013	      0.381	
      10.253	      0.768	      0.000	      0.000	      0.013	      0.425	
      10.134	      1.029	      0.000	      0.000	      0.013	      0.534	
      10.554	      0.792	      0.000	      0.000	      0.013	      0.374	
      10.538	      0.779	      0.001	      0.000	      0.014	      0.369	
      11.050	      0.781	      0.000	      0.000	      0.015	      0.371	
       9.965	      0.862	      0.000	      0.000	      0.019	      0.436	
       9.853	      0.807	      0.000	      0.000	      0.013	      0.435	
      10.953	      0.780	      0.000	      0.000	      0.014	      0.384	
      10.658	      0.789	      0.000	      0.000	      0.014	      0.557	
      10.765	      0.976	      0.000	      0.000	      0.016	      0.447	
      10.440	      0.780	      0.000	      0.000	      0.014	      0.384	
      10.157	      0.852	      0.000	      0.000	      0.014	      0.374	
      11.842	      0.792	      0.000	      0.000	      0.014	      0.473	
      10.719	      0.776	      0.000	      0.000	      0.013	      0.374	
      10.282	      0.947	      0.001	      0.000	      0.014	      0.522	
      10.439	      0.800	      0.000	      0.000	      0.012	      0.370	
      10.424	      0.774	      0.000	      0.000	      0.015	      0.370	
      11.814	      0.773	      0.000	      0.000	      0.014	      0.477	
      11.303	      0.860	      0.000	      0.000	      0.014	      0.488	
      11.181	      1.150	      0.001	      0.000	      0.028	      0.566	
      11.104	      0.778	      0.001	      0.000	      0.014	      0.365	
      10.173	      0.773	      0.000	      0.000	      0.013	      0.482	
      11.394	      0.776	      0.000	      0.000	      0.014	      0.373	
      11.084	      0.994	      0.000	      0.000	      0.016	      0.407	
      10.425	      1.019	      0.000	      0.000	      0.014	      0.470	
      10.360	      0.766	      0.000	      0.000	      0.013	      0.372	
      10.128	      0.778	      0.000	      0.000	      0.013	      0.367	
      11.005	      0.777	      0.000	      0.000	      0.014	      0.375	
      11.129	      0.901	      0.000	      0.000	      0.020	      0.644	
      11.165	      0.819	      0.001	      0.000	      0.017	      0.668	
      10.353	      0.777	      0.000	      0.000	      0.013	      0.372	
      10.758	      0.788	      0.001	      0.000	      0.014	      0.484	
      11.682	      0.778	      0.000	      0.000	      0.013	      0.478	
       9.946	      0.926	      0.000	      0.000	      0.014	      0.405	
       9.923	      0.893	      0.000	      0.000	      0.015	      0.424	
      10.761	      0.760	      0.000	      0.000	      0.013	      0.369	
      10.495	      0.781	      0.137	      0.000	      0.018	      0.369	
      10.327	      1.238	      0.177	      0.000	      0.019	      0.441	
      11.262	      0.792	      0.130	      0.000	      0.021	      0.576	
      10.553	      0.806	      0.136	      0.000	      0.021	      0.626	
      10.533	      0.836	      0.132	      0.000	      0.018	      0.446	
      10.641	      0.829	      0.127	      0.000	      0.018	      0.467	
      11.468	      0.772	      0.128	      0.000	      0.018	      0.471	
      10.225	      0.808	      0.128	      0.000	      0.015	      0.367	
      10.161	      0.752	      0.124	      0.000	      0.018	      0.622	
      11.926	      0.839	      0.121	      0.000	      0.018	      0.597	
      10.288	      0.773	      0.128	      0.000	      0.019	      0.383	
      11.291	      0.773	      0.128	      0.000	      0.018	      0.369	
       9.977	      0.780	      0.134	      0.000	      0.018	      0.389	
      10.881	      0.786	      0.131	      0.000	      0.031	      0.631	
      12.030	      0.744	      0.157	      0.000	      0.018	      0.466	
      10.572	      0.767	      0.128	      0.000	      0.018	      0.464	
      11.225	      0.782	      0.130	      0.000	      0.018	      0.370	
      11.455	      0.862	      0.130	      0.000	      0.018	      0.585	
      11.858	      0.822	      0.129	      0.000	      0.018	      0.618	
      10.931	      0.797	      0.131	      0.000	      0.018	      0.375	
      10.355	      0.801	      0.146	      0.000	      0.017	      0.357	
