Values recorded at: 30-Jan-2013 14:46:38

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

      13.082	      0.916	      0.000	      0.000	      0.026	      0.338	
      12.888	      0.903	      0.000	      0.000	      0.015	      0.372	
      13.120	      0.901	      0.001	      0.000	      0.017	      0.362	
      13.251	      1.007	      0.001	      0.000	      0.019	      0.488	
      14.405	      0.978	      0.000	      0.000	      0.018	      0.462	
      14.157	      0.889	      0.000	      0.000	      0.016	      0.525	
      13.317	      0.910	      0.000	      0.000	      0.023	      0.366	
      12.749	      0.913	      0.000	      0.000	      0.018	      0.376	
      12.891	      0.892	      0.001	      0.000	      0.018	      0.367	
      12.855	      0.940	      0.007	      0.000	      0.018	      0.370	
      13.690	      1.061	      0.001	      0.000	      0.017	      0.381	
      12.784	      1.046	      0.000	      0.000	      0.017	      0.384	
      14.396	      0.958	      0.000	      0.000	      0.018	      0.507	
      14.302	      1.030	      0.000	      0.000	      0.023	      0.471	
      13.110	      0.897	      0.000	      0.000	      0.017	      0.357	
      13.692	      0.953	      0.000	      0.000	      0.017	      0.368	
      14.567	      0.969	      0.000	      0.000	      0.017	      0.469	
      13.039	      0.902	      0.000	      0.000	      0.016	      0.377	
      14.472	      0.901	      0.000	      0.000	      0.016	      0.508	
      13.124	      0.903	      0.000	      0.000	      0.015	      0.410	
      13.228	      0.923	      0.001	      0.000	      0.016	      0.378	
      13.104	      0.916	      0.001	      0.000	      0.016	      0.397	
      13.168	      0.923	      0.000	      0.000	      0.015	      0.370	
      14.476	      0.971	      0.000	      0.000	      0.058	      0.378	
      14.164	      1.066	      0.001	      0.000	      0.017	      0.367	
      13.898	      0.905	      0.000	      0.000	      0.057	      0.406	
      14.625	      0.940	      0.001	      0.000	      0.018	      0.415	
      14.603	      0.904	      0.000	      0.000	      0.020	      0.515	
      13.015	      0.908	      0.001	      0.000	      0.017	      0.373	
      14.417	      0.965	      0.001	      0.000	      0.057	      0.369	
      14.313	      0.916	      0.001	      0.000	      0.022	      0.477	
      13.235	      0.912	      0.000	      0.000	      0.017	      0.365	
      14.483	      0.987	      0.001	      0.000	      0.018	      0.437	
      14.230	      1.104	      0.000	      0.000	      0.016	      0.434	
      14.533	      0.911	      0.001	      0.000	      0.058	      0.523	
