Values recorded at: 16-Feb-2013 16:18:17

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.137	      2.106	      0.000	      0.002	      0.002	      0.517	
       0.134	      2.096	      0.000	      0.001	      0.002	      0.512	
       0.139	      2.180	      0.000	      0.001	      0.002	      0.525	
       0.137	      2.083	      0.000	      0.001	      0.002	      0.514	
       0.148	      2.228	      0.000	      0.001	      0.002	      0.555	
       0.148	      2.196	      0.000	      0.002	      0.002	      0.556	
       0.146	      2.320	      0.000	      0.001	      0.002	      0.559	
       0.148	      2.316	      0.000	      0.001	      0.002	      0.561	
       0.148	      2.243	      0.000	      0.002	      0.002	      0.557	
       0.155	      2.263	      0.000	      0.002	      0.002	      0.560	
       0.157	      2.290	      0.000	      0.001	      0.002	      0.547	
       0.147	      2.256	      0.000	      0.002	      0.002	      0.571	
       0.148	      2.375	      0.001	      0.002	      0.002	      0.559	
       0.149	      2.266	      0.000	      0.002	      0.002	      0.570	
       0.151	      2.317	      0.000	      0.001	      0.002	      0.557	
       0.146	      2.200	      0.000	      0.001	      0.002	      0.554	
       0.149	      2.261	      0.000	      0.001	      0.002	      0.555	
       0.149	      2.261	      0.000	      0.002	      0.002	      0.559	
       0.153	      2.358	      0.000	      0.002	      0.002	      0.562	
       0.146	      2.340	      0.001	      0.001	      0.002	      0.561	
       0.209	      2.168	      0.000	      0.001	      0.002	      0.574	
       0.154	      2.348	      0.000	      0.001	      0.002	      0.563	
       0.151	      2.232	      0.000	      0.002	      0.003	      0.561	
       0.147	      2.355	      0.000	      0.001	      0.002	      0.556	
       0.149	      2.228	      0.000	      0.001	      0.002	      0.558	
       0.147	      2.387	      0.000	      0.002	      0.002	      0.561	
       0.148	      2.237	      0.000	      0.002	      0.002	      0.559	
       0.147	      2.336	      0.000	      0.001	      0.002	      0.559	
       0.148	      2.235	      0.000	      0.001	      0.002	      0.564	
       0.148	      2.226	      0.000	      0.001	      0.003	      0.559	
       0.148	      2.385	      0.000	      0.002	      0.002	      0.563	
       0.148	      2.276	      0.000	      0.002	      0.002	      0.570	
       0.140	      2.307	      0.001	      0.002	      0.002	      0.550	
       0.145	      2.205	      0.000	      0.002	      0.002	      0.557	
       0.149	      2.342	      0.000	      0.001	      0.002	      0.563	
       0.148	      2.242	      0.000	      0.001	      0.002	      0.556	
       0.141	      2.397	      0.000	      0.002	      0.002	      0.554	
       0.150	      2.343	      0.000	      0.002	      0.002	      0.553	
       0.147	      2.182	      0.000	      0.001	      0.002	      0.555	
       0.148	      2.225	      0.000	      0.001	      0.002	      0.560	
       0.182	      2.414	      0.000	      0.002	      0.002	      0.568	
       0.142	      2.283	      0.000	      0.002	      0.002	      0.544	
       0.142	      2.322	      0.000	      0.002	      0.002	      0.523	
       0.150	      2.147	      0.000	      0.002	      0.002	      0.533	
       0.141	      2.143	      0.000	      0.001	      0.002	      0.522	
       0.139	      2.187	      0.000	      0.001	      0.002	      0.518	
       0.137	      2.083	      0.000	      0.001	      0.002	      0.516	
       0.142	      2.363	      0.000	      0.001	      0.003	      0.544	
       0.142	      2.062	      0.001	      0.001	      0.002	      0.529	
       0.145	      2.027	      0.000	      0.001	      0.002	      0.525	
       0.141	      1.907	      0.000	      0.001	      0.002	      0.551	
       0.094	      1.291	      0.000	      0.001	      0.001	      0.420	
       0.092	      1.225	      0.000	      0.001	      0.001	      0.332	
       0.086	      1.367	      0.000	      0.001	      0.002	      0.332	
       0.062	      0.941	      0.000	      0.000	      0.001	      0.328	
       0.063	      0.845	      0.000	      0.000	      0.001	      0.390	
       0.149	      2.252	      0.000	      0.001	      0.002	      0.562	
       0.149	      2.483	      0.000	      0.001	      0.002	      0.560	
       0.147	      2.359	      0.000	      0.002	      0.002	      0.560	
       0.138	      2.168	      0.000	      0.001	      0.002	      0.520	
       0.138	      2.103	      0.000	      0.001	      0.002	      0.535	
       0.154	      2.143	      0.000	      0.002	      0.002	      0.523	
       0.136	      2.206	      0.000	      0.001	      0.002	      0.514	
       0.149	      2.089	      0.000	      0.002	      0.002	      0.518	
       0.141	      2.361	      0.000	      0.002	      0.002	      0.536	
       0.139	      2.203	      0.000	      0.002	      0.002	      0.519	
       0.132	      2.145	      0.000	      0.001	      0.002	      0.508	
       0.136	      2.248	      0.000	      0.001	      0.002	      0.520	
       0.139	      2.112	      0.000	      0.002	      0.002	      0.534	
       0.137	      2.087	      0.000	      0.002	      0.002	      0.523	
       0.139	      2.092	      0.000	      0.002	      0.003	      0.516	
       0.136	      2.280	      0.000	      0.001	      0.002	      0.543	
       0.137	      2.074	      0.000	      0.001	      0.002	      0.517	
       0.138	      2.192	      0.000	      0.002	      0.002	      0.517	
       0.137	      2.095	      0.000	      0.001	      0.002	      0.518	
       0.136	      2.142	      0.000	      0.001	      0.002	      0.518	
       0.138	      2.145	      0.000	      0.001	      0.002	      0.576	
       0.138	      2.095	      0.000	      0.001	      0.002	      0.519	
       0.153	      2.130	      0.000	      0.001	      0.002	      0.520	
       0.136	      2.212	      0.000	      0.001	      0.002	      0.518	
       0.137	      2.096	      0.000	      0.001	      0.002	      0.518	
       0.138	      2.094	      0.000	      0.002	      0.002	      0.518	
       0.137	      2.074	      0.000	      0.001	      0.002	      0.529	
       0.137	      2.189	      0.000	      0.002	      0.002	      0.522	
       0.130	      2.125	      0.000	      0.001	      0.002	      0.511	
       0.136	      2.237	      0.000	      0.001	      0.002	      0.523	
       0.136	      1.979	      0.000	      0.001	      0.002	      0.529	
       0.138	      2.080	      0.001	      0.001	      0.002	      0.547	
       0.133	      2.136	      0.000	      0.001	      0.002	      0.512	
       0.137	      2.249	      0.000	      0.001	      0.002	      0.518	
       0.138	      2.096	      0.000	      0.001	      0.002	      0.521	
       0.138	      2.094	      0.000	      0.002	      0.002	      0.520	
       0.137	      2.184	      0.000	      0.001	      0.002	      0.567	
       0.136	      2.083	      0.000	      0.001	      0.002	      0.529	
       0.140	      2.100	      0.000	      0.001	      0.002	      0.522	
       0.139	      2.138	      0.000	      0.001	      0.002	      0.518	
       0.138	      2.084	      0.001	      0.001	      0.002	      0.518	
       0.284	      2.139	      0.000	      0.002	      0.002	      0.508	
       0.138	      2.087	      0.000	      0.002	      0.002	      0.519	
       0.138	      2.116	      0.000	      0.001	      0.002	      0.521	
       0.137	      2.110	      0.000	      0.002	      0.002	      0.517	
       0.145	      2.122	      0.000	      0.001	      0.002	      0.523	
       0.153	      2.130	      0.000	      0.001	      0.002	      0.519	
       0.137	      2.230	      0.000	      0.002	      0.002	      0.521	
       0.139	      2.235	      0.000	      0.001	      0.002	      0.573	
       0.135	      2.261	      0.000	      0.002	      0.002	      0.518	
       0.136	      2.123	      0.000	      0.001	      0.003	      0.545	
       0.138	      2.172	      0.000	      0.001	      0.002	      0.521	
       0.138	      2.091	      0.000	      0.002	      0.002	      0.517	
       0.138	      2.089	      0.000	      0.002	      0.002	      0.515	
       0.138	      2.109	      0.000	      0.002	      0.002	      0.552	
       0.139	      2.173	      0.000	      0.001	      0.002	      0.518	
       0.137	      2.098	      0.000	      0.001	      0.002	      0.517	
       0.150	      2.232	      0.000	      0.001	      0.002	      0.561	
       0.147	      2.352	      0.000	      0.001	      0.002	      0.559	
       0.149	      2.352	      0.000	      0.002	      0.002	      0.574	
       0.137	      2.076	      0.000	      0.002	      0.002	      0.522	
       0.137	      2.076	      0.000	      0.001	      0.002	      0.515	
       0.272	      2.186	      0.000	      0.001	      0.002	      0.514	
       0.138	      2.087	      0.000	      0.001	      0.002	      0.521	
       0.139	      2.090	      0.000	      0.001	      0.002	      0.519	
       0.146	      2.441	      0.000	      0.002	      0.003	      0.560	
       0.148	      2.367	      0.000	      0.001	      0.002	      0.561	
       0.147	      2.343	      0.000	      0.001	      0.002	      0.558	
       0.136	      2.114	      0.000	      0.002	      0.002	      0.523	
       0.137	      2.104	      0.000	      0.002	      0.002	      0.520	
       0.137	      2.096	      0.000	      0.001	      0.002	      0.532	
       0.147	      2.206	      0.000	      0.002	      0.002	      0.523	
       0.146	      2.156	      0.000	      0.002	      0.002	      0.530	
       0.141	      2.126	      0.000	      0.002	      0.002	      0.521	
       0.139	      2.131	      0.000	      0.001	      0.002	      0.520	
       0.137	      2.133	      0.000	      0.001	      0.002	      0.530	
       0.145	      2.168	      0.000	      0.001	      0.002	      0.526	
       0.141	      2.104	      0.000	      0.001	      0.002	      0.520	
       0.139	      2.080	      0.000	      0.001	      0.002	      0.521	
       0.137	      2.169	      0.000	      0.001	      0.002	      0.518	
       0.136	      2.171	      0.000	      0.001	      0.002	      0.517	
       0.139	      2.199	      0.000	      0.001	      0.003	      0.525	
       0.138	      2.098	      0.000	      0.001	      0.002	      0.518	
       0.137	      2.194	      0.000	      0.001	      0.002	      0.520	
       0.132	      2.219	      0.000	      0.001	      0.002	      0.511	
       0.136	      1.909	      0.000	      0.001	      0.002	      0.564	
       0.136	      2.105	      0.000	      0.001	      0.003	      0.519	
       0.148	      2.321	      0.000	      0.002	      0.002	      0.558	
       0.148	      2.289	      0.000	      0.002	      0.002	      0.555	
       0.171	      2.288	      0.000	      0.001	      0.002	      0.574	
       0.156	      2.372	      0.000	      0.002	      0.003	      0.566	
       0.151	      2.254	      0.000	      0.002	      0.002	      0.565	
       0.148	      2.293	      0.000	      0.002	      0.002	      0.559	
       0.151	      2.143	      0.000	      0.001	      0.002	      0.564	
       0.150	      2.258	      0.000	      0.002	      0.002	      0.564	
       0.149	      2.223	      0.000	      0.001	      0.002	      0.606	
       0.148	      2.332	      0.001	      0.001	      0.003	      0.556	
       0.145	      2.321	      0.000	      0.001	      0.002	      0.556	
       0.149	      2.239	      0.000	      0.002	      0.002	      0.561	
       0.148	      2.246	      0.000	      0.002	      0.002	      0.566	
       0.148	      2.293	      0.000	      0.001	      0.002	      0.561	
       0.161	      2.317	      0.000	      0.002	      0.002	      0.559	
       0.148	      2.246	      0.000	      0.001	      0.002	      0.559	
       0.148	      2.328	      0.000	      0.002	      0.002	      0.564	
       0.147	      2.366	      0.001	      0.002	      0.002	      0.613	
       0.149	      2.254	      0.000	      0.001	      0.002	      0.599	
       0.146	      2.213	      0.000	      0.002	      0.002	      0.558	
       0.148	      2.237	      0.000	      0.002	      0.002	      0.559	
       0.149	      2.258	      0.000	      0.002	      0.002	      0.559	
       0.148	      2.325	      0.000	      0.002	      0.002	      0.555	
       0.151	      2.352	      0.001	      0.002	      0.003	      0.615	
       0.150	      2.362	      0.000	      0.001	      0.002	      0.559	
       0.148	      2.325	      0.000	      0.001	      0.002	      0.561	
       0.151	      2.369	      0.000	      0.001	      0.002	      0.562	
       0.148	      2.416	      0.000	      0.002	      0.002	      0.556	
       0.096	      1.540	      0.000	      0.001	      0.001	      0.358	
       0.096	      1.488	      0.000	      0.001	      0.001	      0.360	
       0.148	      2.116	      0.000	      0.001	      0.002	      0.567	
       0.148	      2.318	      0.000	      0.001	      0.002	      0.571	
       0.147	      2.312	      0.000	      0.001	      0.002	      0.561	
       0.127	      2.048	      0.000	      0.002	      0.002	      0.482	
       0.125	      1.982	      0.000	      0.002	      0.002	      0.481	
       0.148	      2.263	      0.000	      0.002	      0.003	      0.629	
