Values recorded at: 04-Mar-2013 23:41:42

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.233	      1.238	      0.722	      0.002	      0.000	      0.245	      0.313	
       0.233	      1.192	      0.680	      0.001	      0.000	      0.306	      0.397	
       0.235	      1.404	      0.772	      0.001	      0.001	      0.263	      0.346	
       0.362	      1.327	      1.054	      0.001	      0.000	      0.258	      0.343	
       0.245	      1.350	      0.926	      0.001	      0.000	      0.262	      0.331	
       0.226	      1.374	      0.735	      0.003	      0.000	      0.250	      0.333	
       0.247	      1.377	      0.710	      0.001	      0.000	      0.261	      0.347	
       0.231	      1.318	      0.706	      0.001	      0.001	      0.249	      0.323	
       0.260	      1.224	      0.702	      0.002	      0.000	      0.275	      0.418	
       0.292	      1.403	      0.755	      0.002	      0.001	      0.293	      0.350	
       0.250	      1.329	      0.709	      0.002	      0.000	      0.266	      0.340	
       0.247	      1.274	      0.688	      0.001	      0.000	      0.247	      0.337	
       0.241	      1.288	      0.682	      0.001	      0.000	      0.253	      0.341	
       0.250	      1.295	      0.689	      0.002	      0.001	      0.245	      0.320	
       0.270	      1.262	      0.740	      0.002	      0.001	      0.256	      0.345	
       0.276	      1.137	      0.612	      0.002	      0.001	      0.290	      0.294	
       0.272	      1.219	      0.753	      0.002	      0.001	      0.264	      0.340	
       0.260	      1.353	      0.720	      0.001	      0.000	      0.247	      0.346	
       0.252	      1.292	      0.696	      0.001	      0.001	      0.253	      0.331	
       0.250	      1.357	      0.700	      0.001	      0.001	      0.245	      0.351	
       0.262	      1.304	      0.702	      0.001	      0.001	      0.257	      0.331	
       0.273	      1.361	      0.698	      0.001	      0.000	      0.609	      0.588	
       0.255	      1.337	      0.693	      0.001	      0.000	      0.280	      0.379	
       0.237	      1.250	      0.688	      0.001	      0.001	      0.256	      0.336	
       0.237	      1.272	      0.685	      0.001	      0.000	      0.247	      0.327	
       0.405	      1.277	      0.673	      0.001	      0.000	      0.247	      0.332	
       0.253	      1.348	      0.915	      0.001	      0.000	      0.269	      0.344	
       0.234	      1.204	      0.676	      0.001	      0.001	      0.265	      0.374	
       0.251	      1.226	      0.708	      0.001	      0.001	      0.242	      0.316	
       0.259	      1.473	      0.706	      0.001	      0.001	      0.537	      0.360	
       0.274	      1.475	      0.790	      0.003	      0.001	      0.271	      0.349	
       0.239	      1.389	      0.776	      0.002	      0.000	      0.251	      0.340	
       0.248	      1.356	      0.681	      0.002	      0.001	      0.254	      0.331	
       0.256	      1.269	      0.717	      0.002	      0.000	      0.359	      0.330	
       0.229	      1.191	      0.688	      0.001	      0.000	      0.302	      0.397	
       0.270	      1.252	      0.702	      0.001	      0.001	      0.254	      0.382	
       0.301	      1.303	      0.721	      0.001	      0.001	      0.255	      0.358	
       0.282	      1.297	      0.745	      0.002	      0.001	      0.251	      0.355	
       0.240	      1.280	      0.706	      0.001	      0.000	      0.249	      0.342	
       0.248	      1.266	      0.694	      0.002	      0.000	      0.249	      0.327	
       0.251	      1.366	      0.744	      0.001	      0.000	      0.247	      0.346	
       0.239	      1.173	      0.682	      0.001	      0.001	      0.297	      0.391	
       0.277	      1.321	      0.741	      0.002	      0.001	      0.268	      0.353	
       0.253	      1.277	      0.703	      0.001	      0.000	      0.253	      0.340	
       0.243	      1.282	      0.702	      0.001	      0.000	      0.248	      0.343	
       0.342	      1.274	      0.686	      0.001	      0.001	      0.244	      0.339	
       0.240	      1.364	      0.698	      0.001	      0.000	      0.254	      0.329	
       0.228	      1.193	      0.819	      0.001	      0.000	      0.251	      0.316	
       0.292	      1.339	      0.733	      0.002	      0.001	      0.653	      0.646	
       0.348	      1.294	      0.749	      0.002	      0.001	      0.260	      0.343	
       0.251	      1.298	      0.692	      0.001	      0.000	      0.260	      0.369	
       0.359	      1.383	      0.711	      0.002	      0.000	      0.254	      0.341	
       0.255	      1.344	      0.763	      0.003	      0.000	      0.248	      0.336	
       0.227	      1.373	      0.776	      0.001	      0.000	      0.251	      0.328	
       0.264	      1.283	      0.724	      0.002	      0.001	      0.260	      0.341	
       0.297	      1.235	      0.709	      0.002	      0.001	      0.294	      0.409	
       0.255	      1.231	      0.690	      0.001	      0.001	      0.252	      0.339	
       0.253	      1.247	      0.663	      0.002	      0.000	      0.247	      0.325	
       0.240	      1.287	      0.707	      0.001	      0.000	      0.256	      0.334	
       0.250	      1.341	      0.705	      0.001	      0.000	      0.245	      0.343	
       0.272	      1.215	      0.732	      0.001	      0.001	      0.266	      0.399	
       0.277	      1.210	      0.721	      0.002	      0.000	      0.280	      0.396	
       0.237	      1.224	      0.671	      0.001	      0.000	      0.249	      0.324	
       0.244	      1.280	      0.694	      0.002	      0.000	      0.247	      0.336	
       0.232	      1.285	      0.684	      0.001	      0.001	      0.244	      0.327	
       0.246	      1.266	      0.689	      0.001	      0.000	      0.243	      0.321	
       0.239	      1.270	      0.729	      0.002	      0.000	      0.271	      0.334	
       0.291	      1.219	      1.169	      0.005	      0.001	      0.265	      0.305	
       0.520	      1.381	      0.726	      0.002	      0.001	      0.312	      0.409	
       0.244	      1.234	      0.688	      0.001	      0.001	      0.259	      0.331	
       0.238	      1.290	      0.696	      0.002	      0.000	      0.243	      0.327	
       0.239	      1.273	      0.684	      0.001	      0.001	      0.243	      0.325	
       0.316	      1.334	      0.722	      0.001	      0.000	      0.258	      0.340	
       0.272	      1.295	      0.881	      0.001	      0.000	      0.265	      0.354	
       0.274	      1.399	      0.785	      0.002	      0.000	      0.307	      0.379	
       0.231	      1.267	      0.705	      0.002	      0.001	      0.284	      0.392	
       0.235	      1.253	      0.681	      0.001	      0.000	      0.527	      0.359	
       0.255	      1.314	      0.718	      0.001	      0.001	      0.271	      0.378	
       0.253	      1.298	      0.721	      0.001	      0.000	      0.251	      0.346	
       0.265	      1.388	      0.713	      0.001	      0.000	      0.248	      0.367	
       0.289	      1.271	      0.772	      0.002	      0.001	      0.255	      0.368	
       0.236	      1.216	      0.691	      0.001	      0.001	      0.274	      0.384	
       0.261	      1.274	      0.723	      0.002	      0.001	      0.260	      0.338	
       0.242	      1.305	      0.769	      0.002	      0.000	      0.250	      0.336	
       0.236	      1.281	      0.681	      0.001	      0.000	      0.245	      0.322	
       0.266	      1.309	      0.742	      0.001	      0.001	      0.254	      0.387	
       0.509	      1.295	      1.021	      0.002	      0.001	      0.268	      0.346	
       0.590	      3.135	      1.733	      0.003	      0.001	      0.616	      0.763	
       0.568	      3.072	      1.560	      0.003	      0.001	      0.665	      0.762	
       0.334	      1.860	      0.951	      0.002	      0.000	      0.350	      0.442	
       0.327	      1.818	      0.907	      0.002	      0.001	      0.344	      0.436	
       0.327	      1.826	      0.999	      0.002	      0.001	      0.370	      0.457	
       0.331	      1.950	      0.929	      0.002	      0.001	      0.705	      0.597	
       0.370	      1.864	      1.087	      0.002	      0.001	      0.351	      0.449	
       0.327	      1.827	      1.090	      0.002	      0.001	      0.351	      0.437	
       0.342	      1.726	      0.951	      0.002	      0.001	      0.375	      0.490	
       0.325	      1.826	      0.937	      0.002	      0.000	      0.357	      0.437	
       0.349	      1.982	      0.901	      0.002	      0.000	      0.343	      0.433	
       0.350	      1.811	      0.973	      0.002	      0.001	      0.359	      0.474	
       0.363	      1.917	      0.951	      0.002	      0.001	      0.379	      0.477	
