Values recorded at: 26-Mar-2013 17:53:02

   Collision	Deformation	    Buffers	

       0.113	      9.509	      0.000	
       0.093	     10.407	      0.000	
       0.097	      9.964	      0.000	
       0.105	     10.150	      0.000	
       0.095	      9.639	      0.000	
       0.094	     10.815	      0.000	
       0.096	     10.131	      0.000	
       0.103	     10.275	      0.000	
       0.120	      9.889	      0.000	
       0.112	     10.239	      0.000	
       0.111	     10.006	      0.000	
       0.095	     10.118	      0.000	
       0.120	     10.226	      0.000	
       0.112	      9.876	      0.000	
       0.095	     10.234	      0.000	
       0.102	     10.072	      0.000	
       0.130	     10.232	      0.000	
       0.096	      9.774	      0.000	
       0.107	     10.271	      0.000	
       0.103	     10.352	      0.000	
       0.094	     10.230	      0.000	
       0.096	     10.466	      0.000	
       0.094	      9.559	      0.000	
       0.111	     10.378	      0.000	
       0.128	     10.010	      0.000	
       0.122	     10.358	      0.000	
       0.096	     10.201	      0.000	
       0.096	     10.563	      0.000	
       0.118	     10.059	      0.000	
       0.104	     10.351	      0.000	
       0.097	     10.304	      0.000	
       0.095	     10.313	      0.000	
       0.096	     10.224	      0.000	
       0.101	      9.872	      0.000	
       0.094	      9.983	      0.000	
       0.130	     10.244	      0.000	
       0.096	      9.983	      0.000	
       0.094	     10.351	      0.000	
       0.092	     10.699	      0.000	
       0.110	     10.311	      0.000	
       0.092	     10.744	      0.000	
       0.121	     10.434	      0.000	
       0.094	     10.432	      0.000	
       0.101	     10.352	      0.000	
       0.094	     10.404	      0.000	
       0.110	     10.192	      0.000	
       0.094	     10.254	      0.000	
       0.093	     10.407	      0.000	
       0.103	      9.814	      0.000	
       0.095	     10.568	      0.000	
       0.094	     10.495	      0.000	
       0.096	     10.070	      0.000	
       0.103	     10.551	      0.000	
       0.129	     10.523	      0.000	
       0.109	     10.224	      0.000	
       0.095	     10.756	      0.000	
       0.093	     10.648	      0.000	
       0.110	     10.544	      0.000	
       0.094	     10.372	      0.000	
       0.095	     10.865	      0.000	
       0.100	     10.540	      0.000	
       0.093	     10.774	      0.000	
       0.093	     10.353	      0.000	
       0.118	     10.396	      0.000	
       0.111	     10.629	      0.000	
       0.102	     10.170	      0.000	
       0.093	     10.914	      0.000	
       0.128	     10.507	      0.000	
       0.101	     11.404	      0.000	
       0.100	     10.843	      0.000	
       0.149	     10.126	      0.000	
       0.094	     11.089	      0.000	
       0.119	     10.573	      0.000	
       0.101	     10.888	      0.000	
       0.094	     11.038	      0.000	
       0.101	     10.670	      0.000	
       0.124	     10.355	      0.000	
       0.103	     10.209	      0.000	
       0.125	     11.002	      0.000	
       0.099	     10.830	      0.000	
       0.101	     10.346	      0.000	
       0.124	     10.824	      0.000	
       0.103	     10.508	      0.000	
       0.113	     10.744	      0.000	
       0.123	     10.979	      0.000	
       0.119	     10.816	      0.000	
       0.115	     10.898	      0.000	
       0.134	     10.718	      0.000	
       0.097	     11.050	      0.000	
       0.092	     11.081	      0.000	
       0.119	     10.664	      0.000	
       0.091	     10.964	      0.000	
       0.101	     10.378	      0.000	
       0.101	     10.861	      0.000	
       0.107	     10.878	      0.000	
       0.109	     10.589	      0.000	
       0.110	     10.833	      0.000	
       0.128	     10.842	      0.000	
       0.101	     10.705	      0.000	
       0.092	     10.927	      0.000	
       0.120	     10.460	      0.000	
       0.111	     10.998	      0.000	
       0.120	     10.878	      0.000	
       0.118	     10.798	      0.000	
       0.100	     10.687	      0.000	
       0.111	     10.449	      0.000	
       0.119	     10.919	      0.000	
       0.105	     10.804	      0.000	
       0.093	     10.959	      0.000	
       0.092	     10.899	      0.000	
       0.110	     10.850	      0.000	
       0.093	     10.891	      0.000	
       0.110	     10.896	      0.000	
       0.095	     10.970	      0.000	
       0.096	     10.405	      0.000	
       0.118	     10.612	      0.000	
       0.121	     10.935	      0.000	
       0.119	     10.856	      0.000	
       0.094	     10.801	      0.000	
       0.095	     10.854	      0.000	
       0.120	     10.665	      0.000	
       0.118	     11.190	      0.000	
       0.100	     10.960	      0.000	
       0.118	     10.747	      0.000	
       0.091	     10.961	      0.000	
       0.100	     10.789	      0.000	
       0.118	     11.186	      0.000	
       0.112	     11.161	      0.000	
       0.093	     11.002	      0.000	
       0.104	     11.093	      0.000	
       0.095	     10.372	      0.000	
       0.111	     11.112	      0.000	
       0.118	     11.164	      0.000	
       0.133	     11.070	      0.000	
       0.102	     10.948	      0.000	
       0.092	     11.052	      0.000	
       0.123	     10.433	      0.000	
       0.096	     11.143	      0.000	
       0.118	     10.947	      0.000	
       0.124	     11.143	      0.000	
       0.101	     10.957	      0.000	
       0.119	      9.486	      0.000	
       0.119	     10.204	      0.000	
       0.100	     10.316	      0.000	
       0.093	     10.317	      0.000	
       0.118	     10.259	      0.000	
       0.109	     10.413	      0.000	
       0.094	     10.446	      0.000	
       0.109	     10.504	      0.000	
       0.110	     10.184	      0.000	
       0.096	     10.095	      0.000	
       0.119	     11.428	      0.000	
       0.111	     10.739	      0.000	
       0.132	     10.266	      0.000	
       0.095	     10.514	      0.000	
       0.095	     10.281	      0.000	
       0.120	      9.827	      0.000	
       0.120	     10.315	      0.000	
       0.102	     10.081	      0.000	
       0.094	     10.505	      0.000	
       0.117	     10.224	      0.000	
       0.101	     10.581	      0.000	
       0.095	     10.384	      0.000	
       0.130	     10.127	      0.000	
       0.102	     10.333	      0.000	
       0.093	     10.193	      0.000	
       0.120	     10.445	      0.000	
       0.094	     10.329	      0.000	
       0.121	     10.553	      0.000	
       0.097	     10.540	      0.000	
       0.095	     10.355	      0.000	
       0.120	     10.521	      0.000	
       0.133	     10.345	      0.000	
       0.102	     10.884	      0.000	
       0.100	     10.434	      0.000	
       0.124	     10.829	      0.000	
       0.095	     10.611	      0.000	
       0.108	     10.475	      0.000	
       0.125	     10.183	      0.000	
       0.102	     10.278	      0.000	
       0.127	     10.630	      0.000	
       0.097	     10.475	      0.000	
       0.103	     10.816	      0.000	
       0.096	     10.544	      0.000	
       0.124	     10.771	      0.000	
       0.097	     10.719	      0.000	
       0.128	     10.777	      0.000	
       0.133	     10.348	      0.000	
       0.112	     11.025	      0.000	
       0.125	     10.400	      0.000	
       0.112	     10.501	      0.000	
       0.094	     10.548	      0.000	
       0.103	     10.863	      0.000	
       0.096	     10.459	      0.000	
       0.097	     10.789	      0.000	
       0.139	     10.395	      0.000	
       0.103	     10.592	      0.000	
       0.121	     10.483	      0.000	
       0.119	     10.889	      0.000	
       0.122	     10.411	      0.000	
       0.114	     10.772	      0.000	
       0.129	     10.481	      0.000	
       0.096	     10.561	      0.000	
       0.121	     10.496	      0.000	
       0.110	     10.728	      0.000	
       0.120	     10.396	      0.000	
       0.103	     10.670	      0.000	
       0.121	     10.555	      0.000	
       0.095	     10.690	      0.000	
       0.100	     10.797	      0.000	
       0.121	     10.663	      0.000	
       0.121	     10.735	      0.000	
       0.121	     10.593	      0.000	
       0.097	     10.783	      0.000	
       0.097	     10.599	      0.000	
       0.134	     10.808	      0.000	
       0.095	     10.567	      0.000	
       0.131	     10.835	      0.000	
       0.103	     10.384	      0.000	
       0.131	     11.019	      0.000	
       0.112	     10.554	      0.000	
       0.133	     10.851	      0.000	
       0.121	     10.901	      0.000	
       0.100	     10.242	      0.000	
       0.095	     10.865	      0.000	
       0.134	     10.682	      0.000	
       0.119	     10.767	      0.000	
       0.093	     10.661	      0.000	
       5.856	     11.032	      0.000	
       0.101	      9.595	      0.000	
       0.119	     10.187	      0.000	
       0.097	      9.474	      0.000	
       0.094	      9.624	      0.000	
       0.094	      9.584	      0.000	
       0.096	      9.734	      0.000	
       0.109	      9.606	      0.000	
       0.094	     10.068	      0.000	
       0.096	     10.568	      0.000	
       0.119	     10.182	      0.000	
       0.093	     10.250	      0.000	
 
