Values recorded at: 01-Apr-2013 21:14:33

   Collision	Deformation	    Buffers	

       1.764	      0.018	      0.000	
       1.537	      0.012	      0.000	
       0.807	      0.011	      0.000	
       0.687	      0.014	      0.000	
       0.447	      0.021	      0.000	
       0.384	      0.012	      0.000	
       0.398	      0.012	      0.000	
       0.380	      0.012	      0.000	
       0.523	      0.012	      0.000	
       0.405	      0.014	      0.000	
       0.378	      0.011	      0.000	
       0.376	      0.012	      0.000	
       0.678	      0.015	      0.000	
       0.435	      0.020	      0.000	
       0.286	      0.012	      0.000	
       0.281	      0.014	      0.000	
       0.158	      0.012	      0.000	
       0.136	      0.011	      0.000	
       0.136	      0.012	      0.000	
       0.207	      0.017	      0.000	
       0.180	      0.012	      0.000	
       0.184	      0.015	      0.000	
       0.178	      0.021	      0.000	
       0.154	      0.011	      0.000	
       0.140	      0.012	      0.000	
       0.140	      0.012	      0.000	
       0.136	      0.015	      0.000	
       0.164	      0.017	      0.000	
       0.170	      0.027	      0.000	
       0.136	      0.011	      0.000	
       0.137	      0.011	      0.000	
       0.137	      0.012	      0.000	
       0.138	      0.012	      0.000	
       0.137	      0.011	      0.000	
       0.137	      0.012	      0.000	
       0.138	      0.012	      0.000	
       0.139	      0.012	      0.000	
       0.136	      0.012	      0.000	
       0.138	      0.080	      0.000	
       0.142	      0.012	      0.000	
       0.142	      0.013	      0.000	
       0.158	      0.013	      0.000	
       0.145	      0.012	      0.000	
       0.165	      0.015	      0.000	
       0.194	      0.012	      0.000	
       0.139	      0.012	      0.000	
       0.137	      0.011	      0.000	
       0.141	      0.012	      0.000	
       0.137	      0.015	      0.000	
       0.141	      0.012	      0.000	
       0.137	      0.012	      0.000	
       0.136	      0.012	      0.000	
       0.139	      0.012	      0.000	
       0.139	      0.012	      0.000	
       0.138	      0.012	      0.000	
       0.139	      0.012	      0.000	
       0.138	      0.012	      0.000	
       0.134	      0.012	      0.000	
       0.136	      0.013	      0.000	
       0.396	      0.012	      0.000	
       0.138	      0.012	      0.000	
       0.186	      0.015	      0.000	
       0.137	      0.012	      0.000	
       0.282	      0.026	      0.000	
       0.145	      0.012	      0.000	
       0.137	      0.013	      0.000	
       0.137	      0.013	      0.000	
       0.144	      0.012	      0.000	
       0.148	      0.010	      0.000	
       0.150	      0.013	      0.000	
       0.179	      0.013	      0.000	
       0.149	      0.011	      0.000	
       0.138	      0.013	      0.000	
       0.136	      0.012	      0.000	
       0.138	      0.020	      0.000	
       0.138	      0.012	      0.000	
