Values recorded at: 04-Apr-2013 14:51:51

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.384	      1.086	      0.681	      0.002	      1.052	      0.003	      0.380	
       0.554	      0.915	      0.855	      0.002	      1.901	      0.002	      0.377	
       0.377	      0.857	      0.671	      0.002	      0.950	      0.001	      0.307	
       0.400	      1.015	      0.642	      0.002	      0.962	      0.002	      0.402	
       0.376	      1.055	      0.739	      0.003	      1.781	      0.003	      0.394	
       0.385	      0.868	      0.601	      0.003	      0.978	      0.001	      0.316	
       0.373	      0.872	      0.756	      0.002	      0.946	      0.001	      0.328	
       0.457	      1.030	      0.736	      0.003	      1.821	      0.002	      0.382	
       0.401	      0.883	      0.665	      0.002	      0.973	      0.001	      0.315	
       0.396	      0.875	      0.662	      0.002	      1.060	      0.004	      0.440	
       0.407	      0.946	      1.034	      0.003	      2.238	      0.002	      0.434	
       0.377	      0.886	      0.611	      0.003	      0.920	      0.002	      0.327	
       0.378	      1.030	      0.869	      0.003	      1.404	      0.003	      0.371	
       0.368	      0.864	      0.618	      0.003	      0.916	      0.001	      0.320	
       0.372	      0.853	      0.682	      0.003	      0.965	      0.002	      0.308	
       0.432	      0.869	      1.175	      0.003	      0.925	      0.003	      0.325	
       0.411	      0.883	      0.657	      0.003	      0.978	      0.001	      0.319	
       0.431	      0.936	      0.666	      0.002	      1.467	      0.003	      0.481	
       0.368	      0.897	      0.673	      0.003	      0.921	      0.002	      0.307	
       0.389	      1.057	      0.718	      0.003	      1.669	      0.003	      0.482	
       0.405	      0.865	      0.671	      0.003	      0.921	      0.002	      0.324	
       0.372	      1.025	      0.677	      0.003	      0.925	      0.002	      0.391	
       0.369	      0.863	      0.698	      0.002	      0.917	      0.002	      0.319	
       0.375	      0.890	      0.699	      0.003	      0.961	      0.002	      0.372	
       0.548	      0.877	      1.032	      0.003	      0.978	      0.002	      0.332	
       0.374	      0.868	      0.700	      0.002	      0.960	      0.002	      0.307	
       0.388	      0.883	      0.579	      0.002	      0.934	      0.002	      0.315	
       0.418	      0.894	      0.573	      0.003	      1.462	      0.003	      0.371	
       0.371	      0.870	      0.564	      0.003	      0.898	      0.002	      0.347	
       0.448	      0.954	      0.687	      0.003	      1.874	      0.002	      0.351	
       0.376	      0.907	      0.754	      0.002	      1.688	      0.002	      0.363	
       0.370	      0.895	      0.662	      0.002	      1.046	      0.002	      0.308	
       0.376	      0.907	      0.683	      0.003	      1.022	      0.002	      0.330	
       0.411	      0.883	      0.620	      0.002	      0.907	      0.002	      0.319	
       0.438	      0.995	      0.649	      0.003	      1.117	      0.002	      0.482	
       0.398	      0.920	      0.660	      0.003	      1.218	      0.002	      0.350	
       0.382	      0.925	      0.671	      0.003	      0.926	      0.002	      0.331	
       0.403	      0.987	      0.734	      0.003	      1.022	      0.004	      0.500	
       0.387	      0.868	      0.687	      0.002	      0.966	      0.002	      0.325	
       0.375	      0.980	      0.671	      0.003	      0.945	      0.002	      0.311	
       0.532	      0.879	      0.751	      0.007	      2.402	      0.002	      0.342	
       0.394	      0.934	      0.624	      0.003	      0.987	      0.003	      0.362	
       0.368	      0.870	      0.733	      0.002	      0.897	      0.002	      0.320	
       0.456	      0.885	      0.713	      0.002	      0.976	      0.002	      0.335	
       0.407	      0.912	      0.596	      0.003	      0.893	      0.002	      0.340	
       0.381	      0.903	      0.673	      0.002	      1.049	      0.002	      0.325	
       0.424	      0.878	      0.685	      0.003	      0.909	      0.002	      0.466	
       0.372	      0.891	      0.677	      0.002	      0.894	      0.002	      0.328	
       0.383	      0.911	      0.579	      0.002	      1.052	      0.002	      0.349	
       0.397	      0.993	      0.583	      0.003	      1.448	      0.002	      0.341	
