Values recorded at: 07-Apr-2013 17:47:10

   Collision	    Weather	Deformation	    Buffers	

       0.102	      0.000	      9.852	      0.000	
       0.103	      0.000	     10.336	      0.000	
       0.102	      0.000	     10.751	      0.000	
       0.104	      0.000	      9.335	      0.000	
       0.102	      0.000	     10.761	      0.000	
       0.102	      0.000	      9.901	      0.000	
       0.102	      0.000	      9.433	      0.000	
       0.105	      0.000	      9.781	      0.000	
       0.102	      0.000	      9.911	      0.000	
       0.102	      0.000	      9.927	      0.000	
       0.105	      0.000	      9.250	      0.000	
       0.103	      0.000	     11.650	      0.000	
       0.099	      0.000	      9.639	      0.000	
       0.103	      0.000	      9.838	      0.000	
       0.096	      0.000	     10.162	      0.000	
       0.102	      0.000	     10.307	      0.000	
       0.122	      0.000	     10.148	      0.000	
       0.102	      0.000	      9.188	      0.000	
       0.110	      0.000	      9.657	      0.000	
       0.106	      0.000	     10.377	      0.000	
       0.103	      0.000	     10.960	      0.000	
       0.121	      0.000	     10.052	      0.000	
       0.106	      0.000	     10.623	      0.000	
       0.105	      0.000	      9.901	      0.000	
       0.108	      0.000	      9.282	      0.000	
       0.103	      0.000	     10.086	      0.000	
       0.100	      0.000	      9.587	      0.000	
       0.102	      0.000	     10.226	      0.000	
       0.103	      0.000	     10.700	      0.000	
       0.107	      0.000	      9.495	      0.000	
       0.100	      0.000	      9.720	      0.000	
       0.102	      0.000	     10.715	      0.000	
       0.102	      0.000	      9.806	      0.000	
       0.103	      0.000	     10.037	      0.000	
       0.103	      0.000	     10.137	      0.000	
       0.106	      0.000	      9.818	      0.000	
       0.103	      0.000	     11.562	      0.000	
       0.143	      0.000	      9.480	      0.000	
       0.103	      0.000	     10.998	      0.000	
       0.103	      0.000	      9.780	      0.000	
       0.103	      0.000	      9.986	      0.000	
       0.107	      0.000	     10.596	      0.000	
       0.103	      0.000	      9.947	      0.000	
       0.102	      0.000	     10.202	      0.000	
       0.109	      0.000	     10.275	      0.000	
       0.102	      0.000	      9.569	      0.000	
       0.102	      0.000	      9.746	      0.000	
       0.103	      0.000	     10.625	      0.000	
       0.139	      0.000	      9.445	      0.000	
       0.103	      0.000	     10.162	      0.000	
       0.106	      0.000	      9.694	      0.000	
       0.100	      0.000	      9.867	      0.000	
       0.115	      0.000	     10.313	      0.000	
       0.105	      0.000	      9.882	      0.000	
       0.103	      0.000	     10.165	      0.000	
       0.130	      0.000	      9.719	      0.000	
       0.106	      0.000	     11.071	      0.000	
       0.106	      0.000	     10.282	      0.000	
       0.103	      0.000	     10.966	      0.000	
       0.103	      0.000	     10.056	      0.000	
       0.107	      0.000	     10.330	      0.000	
       0.105	      0.000	     10.910	      0.012	
       0.103	      0.000	      9.590	      0.000	
       0.105	      0.000	     10.062	      0.000	
       0.103	      0.000	     10.157	      0.000	
       0.102	      0.000	     10.434	      0.000	
       0.103	      0.000	     10.409	      0.000	
       0.105	      0.000	     11.660	      0.000	
       0.103	      0.000	      9.160	      0.000	
       0.102	      0.000	      9.533	      0.000	
       0.104	      0.000	     10.815	      0.000	
       0.102	      0.000	      9.096	      0.000	
       0.106	      0.000	     10.192	      0.000	
