Values recorded at: 01-May-2013 10:09:31

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       1.450	      1.544	      0.838	      0.003	      0.107	      0.002	      0.346	

       1.227	      1.338	      0.705	      0.000	      0.080	      0.001	      0.304	
       1.219	      1.349	      0.696	      0.000	      0.080	      0.001	      0.283	
       1.230	      1.309	      0.681	      0.000	      0.077	      0.001	      0.282	
       1.232	      1.352	      0.698	      0.001	      0.080	      0.001	      0.289	
       1.193	      1.324	      0.681	      0.000	      0.077	      0.001	      0.279	
       1.258	      1.322	      0.697	      0.000	      0.077	      0.001	      0.289	
       1.211	      1.414	      0.701	      0.000	      0.080	      0.001	      0.289	
       1.235	      1.356	      0.706	      0.001	      0.080	      0.002	      0.295	
       1.248	      1.362	      0.695	      0.000	      0.079	      0.002	      0.291	
       1.202	      1.325	      0.677	      0.001	      0.078	      0.001	      0.288	
       1.513	      1.340	      0.696	      0.000	      0.080	      0.001	      0.283	
       1.273	      1.282	      0.912	      0.001	      0.081	      0.001	      0.287	
       1.232	      1.403	      0.750	      0.001	      0.094	      0.001	      0.289	
       1.214	      1.368	      0.679	      0.000	      0.075	      0.003	      0.379	
       1.237	      1.344	      0.693	      0.001	      0.078	      0.001	      0.313	
       1.218	      1.324	      0.739	      0.001	      0.083	      0.001	      0.285	
       1.252	      1.323	      0.701	      0.001	      0.078	      0.001	      0.286	
       1.214	      1.315	      0.684	      0.000	      0.077	      0.001	      0.276	
       1.249	      1.336	      0.703	      0.001	      0.080	      0.001	      0.276	
       1.220	      1.442	      0.721	      0.000	      0.080	      0.001	      0.293	
       1.243	      1.317	      0.706	      0.000	      0.082	      0.001	      0.283	
       1.232	      1.336	      0.700	      0.000	      0.082	      0.001	      0.295	
       1.237	      1.337	      0.697	      0.000	      0.081	      0.001	      0.276	
       1.225	      1.333	      0.685	      0.000	      0.077	      0.001	      0.287	
       1.269	      1.358	      0.694	      0.000	      0.078	      0.001	      0.283	
       1.264	      1.387	      0.722	      0.001	      0.083	      0.001	      0.281	
       1.267	      1.306	      0.721	      0.000	      0.085	      0.001	      0.279	
       1.598	      1.196	      0.945	      0.001	      0.083	      0.001	      0.287	
       1.253	      1.401	      0.716	      0.000	      0.082	      0.001	      0.289	
       1.263	      1.501	      0.695	      0.000	      0.080	      0.002	      0.292	
       1.282	      1.270	      0.919	      0.001	      0.069	      0.001	      0.379	
       1.222	      1.332	      0.726	      0.001	      0.076	      0.001	      0.287	
       1.230	      1.327	      0.715	      0.000	      0.074	      0.001	      0.286	
       1.252	      1.333	      0.701	      0.001	      0.078	      0.001	      0.286	
       1.247	      1.347	      0.694	      0.000	      0.074	      0.001	      0.287	
       1.261	      1.282	      0.752	      0.000	      0.081	      0.001	      0.278	
       1.259	      1.328	      0.751	      0.001	      0.091	      0.001	      0.285	
       1.226	      1.332	      0.679	      0.000	      0.083	      0.001	      0.288	
       1.236	      1.341	      0.719	      0.000	      0.078	      0.001	      0.291	
       1.230	      1.298	      0.724	      0.000	      0.080	      0.001	      0.280	
       1.220	      1.347	      0.724	      0.000	      0.077	      0.001	      0.289	
       1.221	      1.316	      0.741	      0.000	      0.089	      0.001	      0.285	
       1.411	      1.283	      0.712	      0.001	      0.121	      0.001	      0.291	
       1.290	      1.245	      0.841	      0.001	      0.139	      0.002	      0.292	
       1.285	      1.377	      0.727	      0.001	      0.079	      0.001	      0.287	
       1.254	      1.296	      0.727	      0.001	      0.076	      0.001	      0.389	
       1.275	      1.312	      0.723	      0.001	      0.077	      0.001	      0.285	
       1.308	      1.297	      0.733	      0.000	      0.077	      0.002	      0.288	
       1.256	      1.300	      0.742	      0.000	      0.082	      0.001	      0.283	
