Values recorded at: 09-Aug-2013 11:17:03

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.510	      1.356	      0.808	      0.002	      0.003	      0.020	      0.337	

       0.420	      1.111	      0.712	      0.001	      0.003	      0.016	      0.297	
       0.842	      1.124	      1.500	      0.003	      0.002	      0.013	      0.258	
       0.313	      1.093	      0.530	      0.001	      0.003	      0.015	      0.272	
       0.842	      1.091	      1.516	      0.003	      0.002	      0.015	      0.291	
       0.322	      1.079	      0.519	      0.001	      0.001	      0.012	      0.233	
       0.422	      1.484	      0.686	      0.002	      0.003	      0.016	      0.358	
       1.062	      2.638	      1.576	      0.004	      0.005	      0.053	      0.642	
       0.853	      2.977	      1.446	      0.003	      0.007	      0.036	      0.642	
       0.339	      1.178	      0.516	      0.001	      0.002	      0.016	      0.312	
       0.718	      1.144	      0.651	      0.002	      0.002	      0.059	      0.343	
       0.492	      1.130	      0.845	      0.002	      0.002	      0.018	      0.345	
       0.302	      1.051	      0.548	      0.001	      0.002	      0.011	      0.246	
       0.319	      1.132	      0.537	      0.001	      0.002	      0.013	      0.395	
       0.434	      1.151	      0.561	      0.001	      0.002	      0.015	      0.322	
       0.861	      1.849	      1.354	      0.005	      0.006	      0.030	      0.653	
       0.321	      1.090	      0.525	      0.001	      0.002	      0.012	      0.237	
       0.838	      1.549	      1.767	      0.004	      0.004	      0.022	      0.356	
       0.585	      1.509	      0.921	      0.003	      0.003	      0.020	      0.393	
       0.964	      1.074	      1.365	      0.003	      0.003	      0.015	      0.275	
       0.334	      1.167	      0.536	      0.001	      0.001	      0.012	      0.308	
       0.958	      1.835	      1.207	      0.003	      0.003	      0.024	      0.424	
       0.598	      1.901	      1.148	      0.003	      0.003	      0.020	      0.407	
       0.859	      2.834	      1.468	      0.004	      0.007	      0.035	      0.710	
       0.354	      1.124	      0.583	      0.001	      0.001	      0.018	      0.363	
       0.354	      1.072	      0.558	      0.002	      0.002	      0.014	      0.263	
       0.315	      1.101	      0.547	      0.001	      0.003	      0.018	      0.302	
       0.323	      1.138	      0.542	      0.001	      0.003	      0.017	      0.398	
       0.325	      1.329	      0.522	      0.001	      0.001	      0.016	      0.476	
       0.490	      1.740	      0.898	      0.002	      0.003	      0.019	      0.414	
       0.536	      1.807	      0.892	      0.002	      0.003	      0.023	      0.393	
       1.234	      1.810	      1.039	      0.002	      0.004	      0.023	      0.408	
       0.870	      1.096	      1.501	      0.003	      0.002	      0.018	      0.319	
       0.883	      1.194	      1.408	      0.002	      0.003	      0.047	      0.493	
       0.821	      2.109	      1.554	      0.003	      0.006	      0.020	      0.331	
       0.458	      1.185	      0.903	      0.005	      0.003	      0.053	      0.438	
       0.306	      1.170	      0.569	      0.001	      0.003	      0.026	      0.352	
       0.790	      2.983	      1.302	      0.003	      0.006	      0.036	      0.650	
       0.292	      1.180	      0.520	      0.001	      0.002	      0.022	      0.294	
       0.910	      1.109	      1.153	      0.003	      0.003	      0.019	      0.326	
       0.424	      1.325	      0.724	      0.003	      0.003	      0.016	      0.354	
       0.297	      1.145	      0.619	      0.001	      0.002	      0.012	      0.239	
       0.357	      1.287	      0.529	      0.001	      0.002	      0.018	      0.278	
       0.281	      1.197	      0.535	      0.001	      0.003	      0.015	      0.263	
       0.809	      1.799	      1.341	      0.003	      0.005	      0.041	      0.547	
       0.326	      1.338	      0.542	      0.001	      0.001	      0.018	      0.265	
       0.377	      1.380	      0.680	      0.001	      0.002	      0.013	      0.249	
       0.329	      1.204	      0.598	      0.002	      0.003	      0.016	      0.428	
       0.352	      1.174	      0.703	      0.001	      0.003	      0.018	      0.281	
       0.876	      2.503	      1.484	      0.006	      0.004	      0.016	      0.325	
       0.293	      1.249	      0.523	      0.001	      0.005	      0.015	      0.298	
       0.784	      1.146	      1.460	      0.004	      0.003	      0.017	      0.279	
       0.312	      1.064	      0.517	      0.001	      0.001	      0.014	      0.400	
       0.684	      1.176	      0.937	      0.002	      0.003	      0.017	      0.273	
