Values recorded at: 26-Aug-2013 19:57:23

   Collision	    Weather	Deformation	    Buffers	

       0.112	      0.000	      0.012	      0.000	

       0.109	      0.000	      0.014	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.010	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.110	      0.000	      0.012	      0.000	
       0.113	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.114	      0.000	      0.012	      0.000	
       0.112	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.111	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.112	      0.000	      0.011	      0.000	
       0.116	      0.000	      0.010	      0.000	
       0.111	      0.000	      0.030	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.110	      0.000	      0.011	      0.000	
       0.108	      0.000	      0.012	      0.000	
       0.110	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.111	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.136	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.112	      0.000	      0.012	      0.000	
       0.106	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.110	      0.000	      0.011	      0.000	
       0.121	      0.000	      0.010	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.110	      0.000	      0.011	      0.000	
       0.112	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.106	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.112	      0.000	      0.011	      0.000	
       0.110	      0.000	      0.012	      0.000	
       0.113	      0.000	      0.011	      0.000	
       0.111	      0.000	      0.011	      0.000	
       0.113	      0.000	      0.011	      0.000	
       0.113	      0.000	      0.012	      0.000	
       0.112	      0.000	      0.012	      0.000	
       0.119	      0.000	      0.011	      0.000	
       0.115	      0.000	      0.029	      0.000	
       0.107	      0.000	      0.011	      0.000	
       0.106	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.112	      0.000	      0.011	      0.000	
       0.108	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.106	      0.000	      0.011	      0.000	
       0.111	      0.000	      0.010	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.112	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.105	      0.000	      0.011	      0.000	
       0.110	      0.000	      0.011	      0.000	
       0.158	      0.000	      0.011	      0.000	
       0.110	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.106	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.110	      0.000	      0.012	      0.000	
       0.211	      0.000	      0.015	      0.000	
       0.105	      0.000	      0.010	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.120	      0.000	      0.011	      0.000	
       0.149	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.121	      0.000	      0.011	      0.000	
       0.108	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.112	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.106	      0.000	      0.010	      0.000	
       0.111	      0.000	      0.012	      0.000	
       0.115	      0.000	      0.012	      0.000	
       0.110	      0.000	      0.011	      0.000	
       0.110	      0.000	      0.011	      0.000	
       0.116	      0.000	      0.011	      0.000	
       0.106	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.112	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.110	      0.000	      0.026	      0.000	
       0.155	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.106	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.106	      0.000	      0.011	      0.000	
       0.108	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.118	      0.000	      0.011	      0.000	
       0.110	      0.000	      0.011	      0.000	
       0.112	      0.000	      0.011	      0.000	
       0.108	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.111	      0.000	      0.012	      0.000	
       0.106	      0.000	      0.012	      0.000	
       0.116	      0.000	      0.011	      0.000	
       0.111	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.107	      0.000	      0.010	      0.000	
       0.105	      0.000	      0.011	      0.000	
       0.110	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.111	      0.000	      0.012	      0.000	
       0.109	      0.000	      0.010	      0.000	
       0.109	      0.000	      0.011	      0.000	
       0.109	      0.000	      0.012	      0.000	
       0.112	      0.000	      0.012	      0.000	
       0.153	      0.000	      0.011	      0.000	
       0.115	      0.000	      0.011	      0.000	
       0.106	      0.000	      0.011	      0.000	
       0.110	      0.000	      0.011	      0.000	
       0.106	      0.000	      0.011	      0.000	
       0.106	      0.000	      0.011	      0.000	
       0.106	      0.000	      0.010	      0.000	
       0.112	      0.000	      0.011	      0.000	
       0.111	      0.000	      0.011	      0.000	
