Values recorded at: 15-Dec-2013 16:56:35

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.000	      0.000	      0.338	      0.001	      0.288	      0.002	      0.330	

       0.000	      0.000	      0.330	      0.000	      1.844	      0.003	      0.301	
       0.000	      0.000	      0.300	      0.001	      0.248	      0.002	      0.303	
       0.000	      0.000	      0.315	      0.000	      0.201	      0.002	      0.303	
       0.000	      0.000	      0.343	      0.001	      0.200	      0.002	      0.296	
       0.000	      0.000	      0.337	      0.001	      0.431	      0.003	      0.712	
       0.000	      0.000	      0.296	      0.000	      0.250	      0.002	      0.288	
       0.000	      0.000	      0.431	      0.001	      0.286	      0.003	      0.334	
       0.000	      0.000	      0.332	      0.000	      0.282	      0.003	      0.418	
       0.000	      0.000	      0.343	      0.000	      0.330	      0.002	      0.297	
       0.000	      0.000	      0.296	      0.001	      0.251	      0.002	      0.305	
       0.000	      0.000	      0.303	      0.001	      0.249	      0.003	      0.396	
       0.000	      0.000	      0.349	      0.001	      0.201	      0.002	      0.287	
       0.000	      0.000	      0.308	      0.001	      0.292	      0.003	      0.394	
       0.000	      0.000	      0.299	      0.001	      0.239	      0.002	      0.406	
       0.000	      0.000	      0.301	      0.001	      0.184	      0.002	      0.284	
       0.000	      0.000	      0.310	      0.001	      0.192	      0.002	      0.301	
       0.000	      0.000	      0.304	      0.000	      0.233	      0.002	      0.293	
       0.000	      0.000	      0.299	      0.000	      0.234	      0.002	      0.284	
       0.000	      0.000	      0.300	      0.001	      0.189	      0.003	      0.294	
       0.000	      0.000	      0.304	      0.000	      0.189	      0.003	      0.294	
       0.000	      0.000	      0.289	      0.001	      0.272	      0.002	      0.316	
       0.000	      0.000	      0.334	      0.000	      1.120	      0.003	      0.319	
       0.000	      0.000	      0.307	      0.000	      0.195	      0.002	      0.313	
       0.000	      0.000	      0.437	      0.000	      0.232	      0.003	      0.335	
       0.000	      0.000	      0.302	      0.002	      0.476	      0.006	      0.417	
       0.000	      0.000	      0.399	      0.001	      0.298	      0.006	      0.499	
