Values recorded at: 02-Jan-2014 15:39:41

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.013	      2.618	      0.338	      0.001	      0.199	      0.016	      0.586	

       0.013	      2.606	      0.322	      0.001	      0.193	      0.014	      0.469	
       0.012	      2.555	      0.338	      0.001	      0.206	      0.015	      0.461	
       0.013	      2.653	      0.366	      0.001	      0.302	      0.020	      0.511	
       0.014	      2.738	      0.337	      0.001	      0.233	      0.018	      0.525	
       0.013	      2.657	      0.341	      0.001	      0.223	      0.017	      0.497	
       0.013	      2.638	      0.335	      0.001	      0.234	      0.016	      0.472	
       0.013	      2.643	      0.325	      0.001	      0.189	      0.013	      0.446	
       0.012	      2.613	      0.402	      0.001	      0.176	      0.015	      0.499	
       0.012	      2.563	      0.328	      0.001	      0.193	      0.016	      0.520	
       0.012	      2.575	      0.375	      0.001	      0.181	      0.026	      0.493	
       0.014	      2.604	      0.326	      0.001	      0.216	      0.014	      0.480	
       0.012	      2.554	      0.313	      0.001	      0.223	      0.014	      0.439	
       0.012	      2.617	      0.326	      0.001	      0.238	      0.024	      0.560	
       0.013	      2.731	      0.361	      0.001	      0.216	      0.015	      0.460	
       0.015	      2.804	      0.336	      0.002	      0.188	      0.016	      0.500	
       0.013	      2.643	      0.319	      0.001	      0.177	      0.015	      0.448	
       0.013	      2.604	      0.319	      0.002	      0.160	      0.015	      0.447	
       0.013	      2.541	      0.348	      0.001	      0.167	      0.015	      0.489	
       0.013	      2.588	      0.327	      0.001	      0.173	      0.015	      0.511	
       0.013	      2.693	      0.327	      0.001	      0.166	      0.014	      0.501	
       0.012	      2.564	      0.322	      0.001	      0.183	      0.015	      0.455	
       0.014	      2.705	      0.376	      0.001	      0.181	      0.018	      0.499	
       0.015	      2.658	      0.355	      0.002	      0.239	      0.019	      0.538	
       0.014	      2.597	      0.331	      0.001	      0.218	      0.015	      0.484	
       0.014	      2.646	      0.339	      0.001	      0.220	      0.015	      0.470	
       0.014	      2.637	      0.338	      0.002	      0.225	      0.018	      0.481	
       0.016	      2.745	      0.346	      0.001	      0.181	      0.019	      0.505	
       0.013	      2.672	      0.347	      0.001	      0.162	      0.014	      0.460	
       0.013	      2.635	      0.321	      0.002	      0.159	      0.015	      0.447	
       0.012	      2.583	      0.320	      0.001	      0.168	      0.014	      0.473	
       0.012	      2.518	      0.335	      0.001	      0.162	      0.014	      0.493	
       0.013	      2.620	      0.321	      0.001	      0.165	      0.015	      0.467	
       0.013	      2.580	      0.348	      0.001	      0.198	      0.015	      0.469	
       0.014	      2.630	      0.344	      0.001	      0.219	      0.015	      0.486	
       0.015	      2.589	      0.361	      0.003	      0.379	      0.023	      0.565	
       0.014	      2.778	      0.335	      0.001	      0.218	      0.016	      0.485	
       0.014	      2.734	      0.343	      0.002	      0.225	      0.017	      0.490	
       0.013	      2.618	      0.315	      0.001	      0.196	      0.014	      0.445	
       0.013	      2.591	      0.316	      0.001	      0.170	      0.014	      0.473	
       0.012	      2.585	      0.318	      0.001	      0.171	      0.015	      0.490	
       0.013	      2.609	      0.335	      0.001	      0.174	      0.015	      0.465	
       0.013	      2.587	      0.322	      0.001	      0.255	      0.015	      0.479	
       0.013	      2.583	      0.369	      0.001	      0.203	      0.015	      0.511	
       0.013	      2.561	      0.336	      0.001	      0.202	      0.024	      0.476	
       0.014	      2.573	      0.317	      0.001	      0.261	      0.016	      0.493	
       0.015	      2.656	      0.413	      0.002	      0.216	      0.017	      0.501	
       0.014	      2.737	      0.337	      0.002	      0.213	      0.015	      0.474	
       0.013	      2.601	      0.323	      0.001	      0.222	      0.015	      0.489	
       0.012	      2.541	      0.310	      0.001	      0.209	      0.014	      0.533	
       0.013	      2.660	      0.332	      0.001	      0.174	      0.015	      0.478	
