Values recorded at: 23-Oct-2014 15:12:25

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.000	      9.523	      0.399	      0.000	      0.904	      0.697	      0.244	

       0.000	      9.439	      0.386	      0.001	      0.885	      0.671	      0.417	
       0.000	      9.434	      0.386	      0.001	      0.883	      0.673	      0.363	
       0.000	     10.163	      0.416	      0.001	      0.884	      0.719	      0.363	
       0.000	      9.526	      0.395	      0.000	      0.881	      0.684	      0.389	
       0.000	      9.485	      0.390	      0.000	      0.922	      0.696	      0.382	
       0.000	      9.481	      0.408	      0.001	      0.904	      0.714	      0.390	
       0.000	      9.409	      0.384	      0.001	      0.898	      0.675	      0.370	
       0.000	      9.485	      0.390	      0.000	      0.860	      0.675	      0.370	
       0.000	      9.509	      0.426	      0.000	      0.910	      0.721	      0.368	
       0.000	     10.043	      0.397	      0.001	      0.884	      0.671	      0.369	
       0.000	      9.479	      0.383	      0.000	      0.878	      0.696	      0.375	
       0.000	      9.428	      0.419	      0.000	      0.895	      0.715	      0.362	
       0.000	      9.513	      0.397	      0.001	      0.911	      0.671	      0.364	
       0.000	      9.418	      0.385	      0.001	      0.889	      0.669	      0.364	
       0.000	      9.423	      0.409	      0.001	      0.918	      0.700	      0.390	
       0.000	      9.462	      0.392	      0.000	      0.880	      0.685	      0.455	
       0.000	      9.501	      0.388	      0.000	      0.867	      0.694	      0.382	
       0.000	      9.418	      0.409	      0.000	      0.887	      0.699	      0.383	
       0.000	      9.482	      0.386	      0.000	      0.924	      0.672	      0.368	
       0.000	      9.387	      0.381	      0.001	      0.910	      0.695	      0.392	
       0.000	      9.436	      0.408	      0.001	      0.904	      0.702	      0.387	
       0.000	      9.408	      0.381	      0.001	      0.903	      0.708	      0.391	
       0.000	      9.406	      0.386	      0.001	      0.903	      0.722	      0.395	
       0.000	      9.414	      0.414	      0.000	      0.902	      0.718	      0.361	
       0.000	      9.459	      0.410	      0.001	      0.926	      0.672	      0.364	
       0.000	      9.452	      0.386	      0.001	      0.863	      0.675	      0.363	
       0.000	      9.552	      0.386	      0.000	      0.932	      0.701	      0.390	
       0.000	      9.456	      0.384	      0.001	      0.922	      0.700	      0.394	
       0.000	      9.462	      0.426	      0.000	      0.906	      0.744	      0.368	
       0.000	      9.478	      0.425	      0.001	      0.916	      0.700	      0.390	
       0.000	      9.433	      0.386	      0.001	      0.848	      0.674	      0.388	
       0.000	      9.446	      0.385	      0.001	      0.907	      0.672	      0.362	
       0.000	      9.465	      0.385	      0.001	      0.874	      0.671	      0.365	
       0.000	      9.398	      0.419	      0.001	      0.895	      0.698	      0.396	
       0.000	      9.428	      0.423	      0.000	      0.890	      0.745	      0.380	
       0.000	      9.407	      0.411	      0.001	      0.890	      0.701	      0.391	
       0.000	      9.433	      0.388	      0.000	      0.923	      0.672	      0.364	
       0.000	      9.545	      0.392	      0.000	      0.916	      0.700	      0.393	
       0.000	      9.467	      0.424	      0.000	      0.915	      0.717	      0.418	
       0.000	      9.559	      0.397	      0.001	      0.946	      0.701	      0.397	
       0.000	      9.499	      0.385	      0.000	      0.917	      0.695	      0.387	
       0.000	      9.460	      0.439	      0.001	      0.904	      0.701	      0.393	
       0.000	      9.485	      0.388	      0.001	      0.960	      0.674	      0.368	
       0.000	      9.458	      0.414	      0.000	      0.935	      0.673	      0.364	
       0.000	      9.667	      0.430	      0.001	      0.927	      0.721	      0.378	
       0.000	      9.506	      0.392	      0.001	      0.896	      0.671	      0.371	
       0.000	      9.460	      0.390	      0.001	      0.867	      0.727	      0.395	
       0.000	      9.408	      0.410	      0.001	      0.921	      0.718	      0.386	
       0.000	      9.486	      0.387	      0.001	      0.942	      0.673	      0.366	
       0.000	      9.439	      0.387	      0.001	      0.922	      0.671	      0.363	
       0.000	     10.130	      0.423	      0.001	      0.901	      0.700	      0.398	
       0.000	      9.411	      0.388	      0.000	      0.894	      0.672	      0.361	
       0.000	      9.450	      0.437	      0.000	      0.894	      0.727	      0.415	
       0.000	      9.524	      0.399	      0.001	      0.898	      0.699	      0.391	
       0.000	      9.463	      0.420	      0.001	      0.864	      0.718	      0.365	
       0.000	      9.423	      0.386	      0.001	      0.902	      0.673	      0.367	
       0.000	      9.437	      0.385	      0.000	      0.917	      0.700	      0.389	
       0.000	      9.532	      0.418	      0.000	      0.902	      0.705	      0.399	
       0.000	      9.451	      0.423	      0.001	      0.912	      0.743	      0.361	
       0.000	      9.460	      0.418	      0.000	      0.898	      0.720	      0.365	
       0.000	      9.444	      0.414	      0.000	      0.981	      0.675	      0.362	
       0.000	      9.495	      0.387	      0.001	      0.859	      0.675	      0.369	
