Values recorded at: 11-Jul-2015 00:27:52

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.275	      0.000	      0.246	      0.000	      0.957	      0.002	      0.282	

       0.277	      0.000	      0.278	      0.000	      0.976	      0.003	      0.280	
       0.254	      0.000	      0.240	      0.000	      0.990	      0.002	      0.278	
       0.254	      0.000	      0.240	      0.000	      0.932	      0.002	      0.283	
       0.252	      0.000	      0.240	      0.000	      0.930	      0.002	      0.273	
       0.286	      0.000	      0.240	      0.000	      0.981	      0.002	      0.289	
       0.274	      0.000	      0.242	      0.000	      0.937	      0.002	      0.279	
       0.254	      0.000	      0.241	      0.000	      0.905	      0.002	      0.267	
       0.257	      0.000	      0.258	      0.000	      0.956	      0.002	      0.300	
       0.277	      0.000	      0.241	      0.000	      0.944	      0.002	      0.270	
       0.260	      0.000	      0.244	      0.000	      1.001	      0.002	      0.277	
       0.282	      0.000	      0.252	      0.000	      0.958	      0.002	      0.271	
       0.311	      0.000	      0.243	      0.000	      0.964	      0.002	      0.299	
       0.285	      0.000	      0.240	      0.000	      0.920	      0.001	      0.275	
       0.279	      0.000	      0.240	      0.001	      0.933	      0.002	      0.278	
       0.299	      0.000	      0.239	      0.000	      0.977	      0.003	      0.308	
       0.270	      0.000	      0.240	      0.001	      0.948	      0.002	      0.291	
       0.273	      0.000	      0.241	      0.000	      0.927	      0.002	      0.269	
       0.265	      0.000	      0.241	      0.000	      0.974	      0.001	      0.264	
       0.269	      0.000	      0.242	      0.000	      0.941	      0.002	      0.263	
       0.276	      0.000	      0.278	      0.000	      0.967	      0.002	      0.280	
       0.271	      0.000	      0.241	      0.000	      0.945	      0.002	      0.268	
       0.251	      0.000	      0.239	      0.000	      0.926	      0.002	      0.267	
       0.253	      0.000	      0.240	      0.000	      0.916	      0.001	      0.256	
       0.271	      0.000	      0.240	      0.000	      0.961	      0.002	      0.276	
       0.272	      0.000	      0.241	      0.000	      0.931	      0.001	      0.259	
       0.273	      0.000	      0.246	      0.000	      0.928	      0.003	      0.293	
       0.267	      0.000	      0.242	      0.000	      0.935	      0.002	      0.283	
       0.307	      0.000	      0.253	      0.000	      1.062	      0.003	      0.312	
       0.279	      0.000	      0.243	      0.000	      0.947	      0.002	      0.293	
       0.270	      0.000	      0.245	      0.001	      0.938	      0.003	      0.294	
       0.293	      0.000	      0.244	      0.001	      0.962	      0.003	      0.299	
       0.278	      0.000	      0.244	      0.000	      0.938	      0.002	      0.288	
       0.286	      0.000	      0.267	      0.000	      1.024	      0.003	      0.319	
       0.305	      0.000	      0.302	      0.000	      1.019	      0.002	      0.338	
       0.297	      0.000	      0.303	      0.000	      0.969	      0.003	      0.301	
       0.280	      0.000	      0.253	      0.001	      0.968	      0.003	      0.307	
       0.305	      0.000	      0.249	      0.000	      0.973	      0.002	      0.311	
       0.292	      0.000	      0.257	      0.001	      0.993	      0.003	      0.305	
       0.278	      0.000	      0.281	      0.000	      0.945	      0.002	      0.298	
       0.273	      0.000	      0.240	      0.000	      1.187	      0.003	      0.329	
       0.279	      0.000	      0.244	      0.000	      0.972	      0.002	      0.296	
       0.269	      0.000	      0.241	      0.001	      0.940	      0.003	      0.244	
       0.271	      0.000	      0.240	      0.000	      0.964	      0.002	      0.266	
       0.275	      0.000	      0.241	      0.000	      0.952	      0.002	      0.266	
       0.275	      0.000	      0.241	      0.000	      0.959	      0.002	      0.274	
       0.267	      0.000	      0.241	      0.000	      0.989	      0.004	      0.315	
       0.277	      0.000	      0.265	      0.000	      0.981	      0.002	      0.286	
       0.272	      0.000	      0.240	      0.000	      0.980	      0.002	      0.272	
       0.282	      0.000	      0.240	      0.000	      0.992	      0.002	      0.279	
       0.275	      0.000	      0.241	      0.001	      0.974	      0.002	      0.274	
       0.279	      0.000	      0.240	      0.000	      0.946	      0.002	      0.283	
       0.272	      0.000	      0.242	      0.001	      0.943	      0.002	      0.283	
       0.255	      0.000	      0.241	      0.001	      0.938	      0.002	      0.280	
       0.270	      0.000	      0.242	      0.000	      0.945	      0.002	      0.284	
       0.252	      0.000	      0.241	      0.000	      0.918	      0.002	      0.268	
       0.268	      0.000	      0.240	      0.000	      0.932	      0.002	      0.284	
       0.277	      0.000	      0.241	      0.001	      0.940	      0.003	      0.291	
       0.272	      0.000	      0.274	      0.000	      0.960	      0.002	      0.290	
       0.277	      0.000	      0.242	      0.000	      0.898	      0.002	      0.272	
       0.258	      0.000	      0.244	      0.000	      0.997	      0.002	      0.283	
       0.256	      0.000	      0.241	      0.000	      1.004	      0.002	      0.285	
       0.333	      0.000	      0.247	      0.000	      1.004	      0.003	      0.299	
       0.285	      0.000	      0.241	      0.000	      0.953	      0.002	      0.280	
       0.295	      0.000	      0.239	      0.000	      0.954	      0.003	      0.331	
       0.278	      0.000	      0.255	      0.000	      0.947	      0.002	      0.289	
       0.267	      0.000	      0.242	      0.000	      0.942	      0.002	      0.267	
       0.295	      0.000	      0.250	      0.001	      0.976	      0.002	      0.300	
       0.249	      0.000	      0.240	      0.000	      0.917	      0.002	      0.260	
       0.295	      0.000	      0.251	      0.000	      0.989	      0.003	      0.302	
       0.276	      0.000	      0.243	      0.000	      0.930	      0.001	      0.260	
       0.252	      0.000	      0.240	      0.000	      0.926	      0.002	      0.272	
       0.271	      0.000	      0.246	      0.001	      0.942	      0.002	      0.275	
       0.253	      0.000	      0.240	      0.000	      0.925	      0.002	      0.257	
       0.273	      0.000	      0.240	      0.001	      0.960	      0.002	      0.270	
