Values recorded at: 08-Apr-2013 15:24:51

   Collision	    Weather	Deformation	    Buffers	

       0.120	      0.000	      1.686	      0.000	

       0.120	      0.000	      1.661	      0.000	
       0.138	      0.000	      1.656	      0.001	
       0.120	      0.000	      1.679	      0.000	
       0.121	      0.000	      1.671	      0.000	
       0.120	      0.000	      1.865	      0.000	
       0.120	      0.000	      1.876	      0.000	
       0.131	      0.000	      1.804	      0.000	
       0.122	      0.000	      1.663	      0.000	
       0.118	      0.000	      1.941	      0.000	
       0.120	      0.000	      1.875	      0.000	
       0.145	      0.000	      2.077	      0.000	
       0.115	      0.000	      1.725	      0.000	
       0.118	      0.000	      2.496	      0.000	
       0.192	      0.000	      2.162	      0.000	
       0.130	      0.000	      1.761	      0.000	
       0.118	      0.000	      1.625	      0.000	
       0.115	      0.000	      1.802	      0.000	
       0.100	      0.000	      1.669	      0.000	
       0.112	      0.000	      1.993	      0.000	
       0.103	      0.000	      1.983	      0.000	
       0.108	      0.000	      1.543	      0.000	
       0.104	      0.000	      1.496	      0.000	
       0.104	      0.000	      1.565	      0.000	
       0.105	      0.000	      1.563	      0.000	
       0.106	      0.000	      1.514	      0.000	
       0.103	      0.000	      1.602	      0.000	
       0.103	      0.000	      1.646	      0.000	
       0.103	      0.000	      1.781	      0.000	
       0.106	      0.000	      1.599	      0.001	
       0.103	      0.000	      1.579	      0.000	
       0.103	      0.000	      1.923	      0.000	
       0.103	      0.000	      1.503	      0.000	
       0.103	      0.000	      2.001	      0.001	
       0.113	      0.000	      2.118	      0.000	
       0.104	      0.000	      1.694	      0.000	
       0.263	      0.000	      1.462	      0.000	
       0.102	      0.000	      1.489	      0.000	
       0.104	      0.000	      1.462	      0.000	
       0.106	      0.000	      1.467	      0.000	
       0.106	      0.000	      1.505	      0.000	
       0.137	      0.000	      1.475	      0.000	
       0.103	      0.000	      1.568	      0.000	
       0.116	      0.000	      1.448	      0.000	
       0.104	      0.000	      1.506	      0.000	
       0.108	      0.000	      1.526	      0.000	
       0.112	      0.000	      1.472	      0.000	
       0.124	      0.000	      1.470	      0.000	
       0.112	      0.000	      1.540	      0.000	
       0.104	      0.000	      1.573	      0.000	
       0.103	      0.000	      1.624	      0.000	
       0.118	      0.000	      1.552	      0.000	
       0.103	      0.000	      1.584	      0.000	
       0.117	      0.000	      1.730	      0.000	
       0.116	      0.000	      1.577	      0.000	
       0.115	      0.000	      1.727	      0.000	
       0.118	      0.000	      1.587	      0.000	
       0.120	      0.000	      1.537	      0.000	
       0.108	      0.000	      1.577	      0.000	
       0.115	      0.000	      1.845	      0.000	
       0.118	      0.000	      1.581	      0.000	
       0.119	      0.000	      1.498	      0.000	
       0.118	      0.000	      1.548	      0.000	
       0.118	      0.000	      1.505	      0.000	
       0.125	      0.000	      1.491	      0.000	
       0.118	      0.000	      1.513	      0.000	
       0.108	      0.000	      1.664	      0.000	
       0.109	      0.000	      1.551	      0.000	
       0.121	      0.000	      1.599	      0.000	
       0.146	      0.000	      1.562	      0.000	
       0.117	      0.000	      1.553	      0.000	
       0.118	      0.000	      1.643	      0.000	
       0.119	      0.000	      1.583	      0.000	
       0.117	      0.000	      1.537	      0.000	
       0.120	      0.000	      1.697	      0.000	
       0.145	      0.000	      1.627	      0.000	
       0.122	      0.000	      1.624	      0.000	
       0.116	      0.000	      1.573	      0.000	
       0.119	      0.000	      1.927	      0.000	
       0.117	      0.000	      1.516	      0.000	
       0.117	      0.000	      1.746	      0.000	
       0.116	      0.000	      1.547	      0.000	
       0.117	      0.000	      1.936	      0.000	
       0.118	      0.000	      1.520	      0.000	
       0.121	      0.000	      1.555	      0.000	
       0.119	      0.000	      1.578	      0.000	
       0.120	      0.000	      1.553	      0.000	
       0.117	      0.000	      1.661	      0.000	
       0.119	      0.000	      1.564	      0.000	
       0.132	      0.000	      1.534	      0.000	
       0.125	      0.000	      1.525	      0.000	
       0.123	      0.000	      1.527	      0.000	
       0.121	      0.000	      1.644	      0.000	
