Values recorded at: 29-Apr-2013 20:05:06

   Collision	    Weather	Deformation	    Buffers	

       0.107	     12.860	      0.043	      0.000	

       0.103	     12.766	      0.041	      0.000	
       0.122	     13.294	      0.086	      0.000	
       0.102	     14.373	      0.039	      0.000	
       0.102	     14.494	      0.041	      0.000	
       0.121	     13.238	      0.041	      0.000	
       0.117	     14.635	      0.040	      0.000	
       0.115	     13.475	      0.040	      0.000	
       0.103	     12.928	      0.039	      0.000	
       0.103	     13.277	      0.101	      0.000	
       0.106	     13.527	      0.039	      0.000	
       0.104	     14.207	      0.041	      0.000	
       0.106	     13.628	      0.040	      0.000	
       0.106	     14.151	      0.039	      0.000	
       0.104	     14.260	      0.042	      0.000	
       0.100	     13.137	      0.040	      0.000	
       0.103	     13.023	      0.041	      0.000	
       0.105	     13.364	      0.038	      0.000	
       0.103	     14.060	      0.041	      0.000	
       0.108	     13.369	      0.038	      0.000	
       0.106	     14.272	      0.040	      0.000	
       0.104	     13.320	      0.044	      0.000	
       0.109	     13.855	      0.041	      0.000	
       0.100	     13.224	      0.039	      0.000	
       0.105	     13.052	      0.044	      0.000	
       0.117	     13.831	      0.041	      0.000	
       0.103	     13.509	      0.039	      0.000	
       0.103	     14.330	      0.039	      0.000	
       0.103	     13.981	      0.040	      0.000	
       0.103	     16.825	      0.041	      0.000	
       0.103	      8.169	      0.045	      0.000	
       0.104	      7.903	      0.039	      0.000	
       0.103	      8.211	      0.038	      0.000	
       0.103	      8.678	      0.044	      0.000	
       0.109	      8.493	      0.040	      0.000	
       0.100	      8.556	      0.040	      0.000	
       0.101	      9.436	      0.039	      0.000	
       0.103	      9.634	      0.040	      0.000	
       0.103	      9.920	      0.039	      0.000	
       0.104	      9.919	      0.039	      0.000	
       0.175	      9.547	      0.039	      0.000	
       0.104	     10.415	      0.040	      0.000	
       0.103	      9.557	      0.039	      0.000	
       0.103	     10.754	      0.039	      0.000	
       0.103	     10.151	      0.038	      0.000	
       0.107	     11.844	      0.041	      0.000	
       0.119	     11.016	      0.043	      0.000	
       0.103	     11.294	      0.042	      0.000	
       0.115	     11.318	      0.091	      0.000	
       0.106	     11.497	      0.094	      0.000	
       0.103	     11.124	      0.041	      0.000	
       0.106	     12.344	      0.041	      0.000	
       0.106	     11.609	      0.037	      0.000	
       0.108	     12.638	      0.045	      0.000	
       0.126	     11.913	      0.040	      0.000	
       0.110	     12.770	      0.042	      0.000	
       0.101	     12.245	      0.039	      0.000	
       0.121	     12.603	      0.038	      0.000	
       0.109	     13.630	      0.053	      0.000	
       0.101	     13.216	      0.041	      0.000	
       0.100	     12.718	      0.037	      0.000	
       0.103	     13.426	      0.039	      0.000	
       0.100	     12.542	      0.038	      0.000	
       0.103	     12.869	      0.040	      0.000	
       0.102	     12.121	      0.042	      0.000	
       0.104	     12.448	      0.045	      0.000	
       0.104	     13.339	      0.038	      0.000	
       0.106	     13.110	      0.039	      0.000	
       0.103	     13.611	      0.042	      0.000	
       0.100	     14.435	      0.041	      0.000	
       0.103	     14.252	      0.040	      0.000	
       0.103	     13.138	      0.039	      0.000	
       0.105	     13.419	      0.037	      0.000	
       0.103	     12.577	      0.041	      0.000	
       0.105	     13.159	      0.041	      0.000	
       0.106	     14.022	      0.040	      0.000	
       0.103	     13.575	      0.039	      0.000	
       0.106	     14.320	      0.039	      0.000	
       0.103	     13.738	      0.038	      0.000	
       0.103	     13.891	      0.040	      0.000	
       0.106	     13.912	      0.040	      0.000	
       0.107	     13.284	      0.041	      0.000	
       0.104	     14.150	      0.039	      0.000	
       0.106	     14.042	      0.040	      0.000	
       0.100	     14.149	      0.040	      0.000	
       0.100	     13.631	      0.041	      0.000	
       0.115	     13.856	      0.039	      0.000	
       0.106	     13.403	      0.038	      0.000	
       0.103	     12.856	      0.040	      0.000	
       0.125	     12.718	      0.053	      0.000	
       0.105	     13.976	      0.044	      0.000	
       0.103	     14.368	      0.040	      0.000	
       0.103	     13.865	      0.040	      0.000	
       0.106	     14.012	      0.040	      0.000	
       0.109	     13.467	      0.042	      0.000	
       0.101	     14.217	      0.048	      0.000	
       0.108	     12.941	      0.040	      0.000	
       0.106	     14.113	      0.038	      0.000	
       0.107	     13.335	      0.038	      0.000	
       0.115	     13.146	      0.038	      0.000	
       0.115	     13.851	      0.038	      0.000	
       0.103	     14.471	      0.042	      0.000	
       0.103	     14.024	      0.039	      0.000	
       0.103	     13.344	      0.039	      0.000	
       0.105	     13.571	      0.038	      0.000	
       0.108	     14.106	      0.038	      0.000	
       0.103	     13.443	      0.039	      0.000	
       0.108	     13.993	      0.039	      0.000	
       0.103	     13.276	      0.040	      0.000	
       0.097	     14.134	      0.048	      0.000	
       0.103	     14.756	      0.039	      0.000	
       0.138	     13.403	      0.071	      0.000	
       0.132	     13.498	      0.043	      0.000	
       0.103	     14.407	      0.040	      0.000	
