Values recorded at: 17-Oct-2013 13:55:37

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.307	      3.383	      0.481	      0.000	      0.001	      0.007	      0.412	

       0.306	      3.409	      0.447	      0.000	      0.000	      0.006	      0.386	
       0.287	      3.411	      0.473	      0.000	      0.001	      0.006	      0.404	
       0.288	      3.434	      0.451	      0.000	      0.001	      0.007	      0.393	
       0.506	      3.474	      0.494	      0.000	      0.001	      0.006	      0.390	
       0.313	      3.326	      0.501	      0.000	      0.000	      0.008	      0.428	
       0.320	      3.322	      0.464	      0.000	      0.001	      0.007	      0.390	
       0.288	      3.321	      0.473	      0.000	      0.000	      0.006	      0.432	
       0.303	      3.420	      0.461	      0.000	      0.001	      0.007	      0.396	
       0.304	      3.235	      0.467	      0.000	      0.001	      0.007	      0.417	
       0.298	      3.410	      0.488	      0.000	      0.000	      0.007	      0.411	
       0.299	      3.331	      0.465	      0.000	      0.001	      0.007	      0.400	
       0.299	      3.230	      0.461	      0.000	      0.001	      0.007	      0.469	
       0.304	      3.453	      0.547	      0.000	      0.000	      0.007	      0.432	
       0.290	      3.350	      0.454	      0.000	      0.001	      0.006	      0.396	
       0.290	      3.294	      0.451	      0.000	      0.001	      0.007	      0.490	
       0.298	      3.327	      0.458	      0.000	      0.001	      0.006	      0.455	
       0.287	      3.551	      0.483	      0.000	      0.001	      0.007	      0.411	
       0.311	      3.362	      0.479	      0.000	      0.001	      0.007	      0.420	
       0.291	      3.303	      0.451	      0.000	      0.001	      0.006	      0.390	
       0.287	      3.389	      0.490	      0.000	      0.001	      0.006	      0.414	
       0.291	      3.374	      0.450	      0.000	      0.001	      0.006	      0.403	
       0.301	      3.194	      0.551	      0.000	      0.000	      0.007	      0.394	
       0.324	      3.505	      0.471	      0.000	      0.001	      0.007	      0.413	
       0.303	      3.288	      0.468	      0.000	      0.001	      0.006	      0.409	
       0.307	      3.272	      0.452	      0.000	      0.001	      0.006	      0.394	
       0.304	      3.439	      0.506	      0.000	      0.001	      0.008	      0.422	
       0.291	      3.295	      0.517	      0.000	      0.001	      0.006	      0.413	
       0.284	      3.223	      0.450	      0.000	      0.000	      0.006	      0.423	
       0.312	      3.609	      0.476	      0.000	      0.001	      0.006	      0.377	
       0.286	      3.350	      0.458	      0.000	      0.000	      0.006	      0.401	
       0.351	      3.341	      0.503	      0.000	      0.001	      0.007	      0.411	
       0.289	      3.395	      0.506	      0.000	      0.001	      0.007	      0.411	
       0.286	      3.345	      0.448	      0.000	      0.001	      0.006	      0.379	
       0.332	      3.401	      0.479	      0.000	      0.001	      0.008	      0.410	
       0.288	      3.559	      0.488	      0.000	      0.001	      0.006	      0.416	
       0.290	      3.282	      0.481	      0.000	      0.001	      0.006	      0.399	
       0.302	      3.331	      0.512	      0.000	      0.001	      0.007	      0.414	
       0.293	      3.241	      0.474	      0.000	      0.001	      0.006	      0.408	
       0.312	      3.449	      0.451	      0.000	      0.001	      0.016	      0.514	
       0.585	      3.430	      0.484	      0.000	      0.000	      0.006	      0.475	
       0.298	      3.467	      0.488	      0.000	      0.001	      0.007	      0.395	
       0.288	      3.365	      0.472	      0.000	      0.000	      0.006	      0.389	
       0.287	      3.265	      0.449	      0.000	      0.001	      0.006	      0.383	
       0.292	      3.460	      0.467	      0.000	      0.001	      0.006	      0.402	
       0.288	      3.384	      0.507	      0.000	      0.000	      0.007	      0.398	
       0.385	      3.389	      0.450	      0.000	      0.000	      0.006	      0.382	
       0.302	      3.248	      0.471	      0.000	      0.001	      0.006	      0.393	
       0.284	      3.394	      0.469	      0.000	      0.001	      0.007	      0.579	
       0.342	      3.417	      0.556	      0.000	      0.001	      0.007	      0.437	
       0.301	      3.240	      0.469	      0.000	      0.001	      0.007	      0.396	
       0.286	      3.433	      0.471	      0.000	      0.001	      0.006	      0.384	
       0.292	      3.313	      0.482	      0.000	      0.001	      0.007	      0.419	
       0.289	      3.365	      0.452	      0.000	      0.001	      0.007	      0.401	
       0.293	      3.542	      0.464	      0.000	      0.001	      0.007	      0.382	
       0.295	      3.386	      0.490	      0.000	      0.000	      0.006	      0.414	
       0.309	      3.455	      0.450	      0.000	      0.000	      0.006	      0.396	
       0.292	      3.427	      0.506	      0.000	      0.000	      0.007	      0.411	
       0.294	      3.206	      0.502	      0.000	      0.000	      0.007	      0.419	
       0.298	      3.386	      0.504	      0.000	      0.001	      0.006	      0.413	
       0.312	      3.259	      0.451	      0.000	      0.001	      0.006	      0.371	
       0.286	      3.563	      0.470	      0.000	      0.000	      0.006	      0.430	
       0.293	      3.488	      0.473	      0.000	      0.001	      0.007	      0.393	
       0.301	      3.382	      0.513	      0.000	      0.000	      0.007	      0.410	
       0.322	      3.344	      0.474	      0.000	      0.001	      0.006	      0.396	
       0.292	      3.340	      0.450	      0.000	      0.001	      0.006	      0.390	
       0.308	      3.296	      0.451	      0.000	      0.001	      0.015	      0.404	
       0.304	      3.525	      0.453	      0.000	      0.000	      0.007	      0.387	
       0.300	      3.359	      0.481	      0.000	      0.001	      0.006	      0.402	
