Values recorded at: 21-Oct-2013 15:03:01

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.410	      0.584	      0.467	      0.000	      0.001	      0.008	      0.470	

       0.521	      0.516	      0.762	      0.000	      0.000	      0.006	      0.520	
       0.314	      0.528	      0.485	      0.000	      0.001	      0.006	      0.573	
       0.399	      0.672	      0.675	      0.000	      0.001	      0.007	      0.539	
       0.350	      0.567	      0.281	      0.000	      0.001	      0.006	      0.567	
       0.443	      0.689	      0.716	      0.000	      0.001	      0.013	      0.539	
       0.301	      0.520	      0.488	      0.000	      0.000	      0.006	      0.471	
       0.330	      0.548	      0.307	      0.000	      0.001	      0.006	      0.418	
       0.314	      0.537	      0.298	      0.000	      0.007	      0.006	      0.465	
       0.317	      0.572	      0.279	      0.000	      0.001	      0.008	      0.419	
       0.701	      0.538	      0.736	      0.000	      0.001	      0.008	      0.519	
       0.305	      0.519	      0.496	      0.000	      0.001	      0.007	      0.409	
       0.343	      1.099	      0.773	      0.001	      0.002	      0.009	      0.441	
       0.329	      0.494	      0.263	      0.000	      0.001	      0.006	      0.391	
       0.406	      0.591	      0.377	      0.000	      0.001	      0.008	      0.427	
       0.288	      0.575	      0.278	      0.000	      0.001	      0.007	      0.421	
       0.323	      0.511	      0.312	      0.000	      0.001	      0.008	      0.424	
       0.281	      0.517	      0.426	      0.000	      0.001	      0.007	      0.416	
       0.373	      0.590	      0.304	      0.000	      0.001	      0.009	      0.524	
       0.350	      0.801	      0.411	      0.000	      0.001	      0.009	      0.444	
       0.351	      0.524	      0.412	      0.000	      0.001	      0.008	      0.434	
       0.590	      0.640	      0.555	      0.000	      0.001	      0.009	      0.438	
       0.323	      0.572	      0.401	      0.000	      0.001	      0.009	      0.526	
       1.419	      0.576	      0.439	      0.000	      0.001	      0.012	      0.713	
       0.580	      0.519	      0.725	      0.000	      0.000	      0.006	      0.426	
       0.429	      0.525	      0.748	      0.000	      0.000	      0.006	      0.410	
       0.281	      0.526	      0.278	      0.000	      0.000	      0.006	      0.473	
       0.310	      0.524	      0.342	      0.000	      0.001	      0.007	      0.413	
       0.819	      0.924	      0.772	      0.001	      0.001	      0.007	      0.443	
       0.301	      0.488	      0.531	      0.000	      0.001	      0.007	      0.404	
       0.657	      0.514	      0.330	      0.000	      0.001	      0.009	      0.611	
       0.293	      0.562	      0.301	      0.000	      0.001	      0.006	      0.396	
       0.327	      0.550	      0.306	      0.000	      0.001	      0.019	      0.772	
       0.607	      0.623	      0.728	      0.000	      0.001	      0.009	      0.432	
       0.301	      0.520	      0.282	      0.000	      0.000	      0.006	      0.407	
       0.345	      0.597	      0.307	      0.000	      0.001	      0.008	      0.424	
       0.304	      0.561	      0.284	      0.000	      0.001	      0.008	      0.419	
       0.501	      0.577	      0.704	      0.000	      0.001	      0.008	      0.426	
       0.603	      0.511	      0.727	      0.000	      0.001	      0.009	      0.434	
       0.327	      0.723	      0.320	      0.000	      0.001	      0.021	      0.550	
       0.289	      0.504	      0.512	      0.000	      0.000	      0.005	      0.428	
       0.679	      0.585	      0.310	      0.000	      0.001	      0.008	      0.423	
       0.613	      0.506	      0.729	      0.000	      0.000	      0.005	      0.398	
       0.293	      0.523	      0.278	      0.000	      0.001	      0.008	      0.411	
       0.677	      0.810	      0.843	      0.000	      0.000	      0.007	      0.407	
       0.330	      0.508	      0.308	      0.000	      0.000	      0.007	      0.413	
       0.518	      0.514	      0.709	      0.000	      0.001	      0.008	      0.638	
       0.263	      0.550	      0.286	      0.000	      0.001	      0.006	      0.421	
       0.302	      0.518	      0.486	      0.000	      0.001	      0.006	      0.417	
