Values recorded at: 27-Apr-2013 14:25:13

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

      57.522	      1.068	      0.594	      0.001	      0.001	      0.002	      0.308	

      56.901	      1.089	      0.580	      0.000	      0.001	      0.002	      0.309	
      57.757	      1.089	      0.591	      0.000	      0.001	      0.002	      0.303	
      56.271	      1.052	      0.597	      0.000	      0.001	      0.001	      0.306	
      58.425	      1.044	      0.603	      0.003	      0.001	      0.002	      0.302	
      57.068	      1.044	      0.590	      0.001	      0.001	      0.002	      0.319	
      57.742	      1.068	      0.585	      0.000	      0.001	      0.002	      0.301	
      58.474	      1.113	      0.590	      0.001	      0.001	      0.002	      0.305	
      57.509	      1.086	      0.617	      0.001	      0.001	      0.002	      0.313	
      56.611	      1.059	      0.620	      0.001	      0.001	      0.002	      0.372	
      56.767	      1.086	      0.633	      0.000	      0.001	      0.002	      0.304	
      55.377	      1.127	      0.588	      0.001	      0.001	      0.002	      0.308	
      57.622	      1.071	      0.618	      0.000	      0.001	      0.002	      0.328	
      58.313	      1.019	      0.589	      0.000	      0.001	      0.002	      0.304	
      54.505	      1.069	      0.610	      0.001	      0.001	      0.002	      0.303	
      59.106	      1.061	      0.594	      0.000	      0.001	      0.002	      0.336	
      55.636	      1.074	      0.585	      0.001	      0.001	      0.002	      0.355	
      59.441	      1.103	      0.576	      0.000	      0.001	      0.002	      0.304	
      57.394	      1.035	      0.606	      0.001	      0.001	      0.002	      0.304	
      59.057	      1.046	      0.675	      0.000	      0.001	      0.002	      0.304	
      57.793	      1.067	      0.673	      0.000	      0.001	      0.002	      0.366	
      59.579	      1.129	      0.585	      0.001	      0.001	      0.002	      0.306	
      57.895	      1.063	      0.621	      0.001	      0.001	      0.002	      0.303	
      58.714	      1.042	      0.585	      0.001	      0.001	      0.002	      0.302	
      57.660	      1.039	      0.579	      0.000	      0.001	      0.002	      0.352	
      57.849	      1.127	      0.602	      0.001	      0.001	      0.002	      0.308	
      57.896	      1.052	      0.576	      0.000	      0.001	      0.002	      0.302	
      59.110	      1.070	      0.586	      0.001	      0.001	      0.002	      0.304	
      57.772	      1.033	      0.579	      0.001	      0.001	      0.002	      0.302	
      56.229	      1.057	      0.576	      0.000	      0.001	      0.002	      0.301	
      54.654	      1.050	      0.622	      0.001	      0.001	      0.002	      0.303	
      58.342	      1.121	      0.575	      0.001	      0.001	      0.002	      0.308	
      57.199	      1.062	      0.581	      0.001	      0.001	      0.002	      0.302	
      56.350	      1.060	      0.581	      0.000	      0.001	      0.002	      0.299	
      56.639	      1.030	      0.589	      0.003	      0.001	      0.003	      0.304	
      56.462	      1.074	      0.586	      0.001	      0.001	      0.002	      0.302	
      57.697	      1.061	      0.584	      0.001	      0.001	      0.002	      0.302	
      57.912	      1.072	      0.587	      0.001	      0.001	      0.002	      0.312	
      59.082	      1.026	      0.582	      0.001	      0.001	      0.002	      0.302	
      58.975	      1.057	      0.577	      0.001	      0.001	      0.002	      0.316	
      57.655	      1.058	      0.615	      0.001	      0.001	      0.002	      0.306	
      55.545	      1.060	      0.597	      0.001	      0.001	      0.002	      0.305	
      56.289	      1.069	      0.587	      0.000	      0.001	      0.002	      0.306	
      59.457	      1.019	      0.589	      0.001	      0.001	      0.002	      0.307	
      57.276	      1.044	      0.565	      0.000	      0.001	      0.002	      0.304	
      58.169	      1.057	      0.594	      0.001	      0.001	      0.002	      0.317	
      54.195	      1.068	      0.622	      0.001	      0.001	      0.002	      0.297	
      57.822	      1.060	      0.583	      0.001	      0.001	      0.002	      0.304	
      56.846	      1.036	      0.594	      0.000	      0.001	      0.002	      0.302	
      58.138	      1.045	      0.606	      0.000	      0.001	      0.002	      0.304	
      55.710	      1.080	      0.586	      0.000	      0.001	      0.001	      0.304	
      57.205	      1.075	      0.598	      0.000	      0.001	      0.002	      0.304	
      56.312	      1.088	      0.588	      0.000	      0.001	      0.002	      0.315	
      56.213	      1.031	      0.585	      0.000	      0.001	      0.002	      0.301	
      56.884	      1.022	      0.588	      0.000	      0.001	      0.002	      0.310	
      57.360	      1.051	      0.586	      0.001	      0.001	      0.002	      0.302	
      61.335	      1.060	      0.600	      0.001	      0.001	      0.002	      0.302	
      58.708	      1.112	      0.626	      0.000	      0.001	      0.002	      0.303	
      57.981	      1.054	      0.592	      0.000	      0.001	      0.002	      0.303	
      58.888	      1.083	      0.587	      0.000	      0.001	      0.002	      0.313	
      58.936	      1.080	      0.583	      0.001	      0.001	      0.002	      0.303	
      57.609	      1.122	      0.579	      0.000	      0.001	      0.002	      0.303	
      58.104	      1.072	      0.565	      0.000	      0.001	      0.002	      0.301	
      57.538	      1.025	      0.591	      0.001	      0.001	      0.002	      0.301	
      57.336	      1.044	      0.582	      0.001	      0.001	      0.002	      0.306	
      58.703	      1.072	      0.590	      0.000	      0.001	      0.002	      0.307	
      57.678	      1.064	      0.608	      0.000	      0.001	      0.002	      0.316	
      56.182	      1.075	      0.601	      0.001	      0.001	      0.002	      0.306	
      58.733	      1.041	      0.600	      0.000	      0.001	      0.002	      0.306	
      56.470	      1.040	      0.582	      0.001	      0.001	      0.002	      0.301	
      57.070	      1.107	      0.591	      0.000	      0.001	      0.002	      0.301	
      58.969	      1.055	      0.577	      0.000	      0.001	      0.002	      0.300	
      54.759	      1.089	      0.613	      0.000	      0.001	      0.002	      0.308	
      57.640	      1.039	      0.584	      0.001	      0.001	      0.002	      0.304	
      57.835	      1.067	      0.588	      0.001	      0.001	      0.002	      0.303	
      58.321	      1.109	      0.580	      0.000	      0.001	      0.002	      0.302	
      57.191	      1.097	      0.588	      0.001	      0.001	      0.002	      0.310	
      57.342	      1.066	      0.583	      0.000	      0.001	      0.002	      0.301	
      57.105	      1.043	      0.605	      0.001	      0.001	      0.002	      0.306	
      58.235	      1.048	      0.585	      0.000	      0.001	      0.002	      0.307	
      54.292	      1.060	      0.597	      0.000	      0.001	      0.002	      0.303	
      58.603	      1.052	      0.588	      0.000	      0.001	      0.002	      0.305	
      60.771	      1.054	      0.582	      0.000	      0.001	      0.002	      0.310	
      59.141	      1.068	      0.586	      0.000	      0.001	      0.002	      0.313	
      55.817	      1.040	      0.623	      0.000	      0.001	      0.002	      0.305	
      59.810	      1.090	      0.585	      0.001	      0.001	      0.002	      0.304	
      58.357	      1.086	      0.590	      0.000	      0.001	      0.002	      0.320	
      58.434	      1.082	      0.590	      0.000	      0.001	      0.002	      0.316	
      58.877	      1.082	      0.589	      0.000	      0.001	      0.002	      0.304	
      60.258	      1.040	      0.622	      0.000	      0.001	      0.002	      0.332	
      58.439	      1.053	      0.581	      0.000	      0.001	      0.002	      0.301	
      56.651	      1.104	      0.578	      0.001	      0.001	      0.002	      0.303	
      57.904	      1.062	      0.616	      0.001	      0.001	      0.002	      0.314	
      58.954	      1.069	      0.596	      0.000	      0.001	      0.002	      0.301	
      58.177	      1.047	      0.623	      0.001	      0.001	      0.002	      0.307	
      58.798	      1.085	      0.587	      0.001	      0.001	      0.002	      0.305	
      56.269	      1.053	      0.590	      0.000	      0.001	      0.001	      0.302	
      58.246	      1.077	      0.587	      0.000	      0.001	      0.002	      0.304	
      55.417	      1.037	      0.607	      0.000	      0.001	      0.002	      0.326	
      58.637	      1.037	      0.583	      0.000	      0.001	      0.002	      0.303	
      56.881	      1.052	      0.592	      0.001	      0.001	      0.002	      0.301	
      58.519	      1.093	      0.587	      0.000	      0.001	      0.002	      0.344	
      58.004	      1.164	      0.590	      0.000	      0.001	      0.002	      0.304	
      56.463	      1.087	      0.584	      0.000	      0.001	      0.002	      0.303	
      59.669	      1.062	      0.585	      0.001	      0.001	      0.002	      0.304	
      60.322	      1.056	      0.590	      0.000	      0.001	      0.001	      0.306	
      57.547	      1.072	      0.588	      0.000	      0.001	      0.002	      0.312	
      59.369	      1.090	      0.587	      0.001	      0.001	      0.002	      0.302	
      56.230	      1.049	      0.585	      0.000	      0.001	      0.002	      0.300	
      59.420	      1.054	      0.582	      0.000	      0.001	      0.002	      0.304	
      58.410	      1.096	      0.578	      0.000	      0.001	      0.002	      0.304	
