Values recorded at: 27-Apr-2013 14:16:12

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.561	      1.918	      1.137	      0.002	      0.002	      0.015	      0.498	

       0.573	      1.925	      1.056	      0.002	      0.001	      0.016	      0.497	
       0.545	      1.895	      1.060	      0.002	      0.002	      0.017	      0.578	
       0.540	      1.911	      1.206	      0.002	      0.002	      0.016	      0.496	
       0.545	      1.882	      1.119	      0.002	      0.002	      0.014	      0.482	
       0.553	      1.879	      1.116	      0.002	      0.002	      0.015	      0.484	
       0.584	      1.893	      1.088	      0.002	      0.002	      0.015	      0.489	
       0.557	      1.876	      1.129	      0.002	      0.001	      0.015	      0.493	
       0.555	      1.901	      1.185	      0.002	      0.002	      0.017	      0.509	
       0.562	      1.882	      1.132	      0.002	      0.001	      0.015	      0.498	
       0.561	      1.886	      1.121	      0.002	      0.002	      0.015	      0.489	
       0.603	      1.892	      1.042	      0.002	      0.001	      0.019	      0.505	
       0.555	      1.960	      1.142	      0.002	      0.002	      0.016	      0.522	
       0.555	      1.885	      1.182	      0.002	      0.001	      0.015	      0.487	
       0.544	      1.872	      1.124	      0.002	      0.002	      0.014	      0.478	
       0.548	      1.895	      1.111	      0.002	      0.001	      0.015	      0.482	
       0.554	      1.883	      1.191	      0.002	      0.002	      0.015	      0.482	
       0.541	      1.887	      1.088	      0.002	      0.002	      0.015	      0.484	
       0.706	      1.864	      1.118	      0.002	      0.001	      0.015	      0.486	
       0.562	      1.983	      1.214	      0.002	      0.002	      0.016	      0.501	
       0.549	      1.935	      1.126	      0.002	      0.001	      0.016	      0.497	
       0.539	      2.072	      1.167	      0.002	      0.002	      0.015	      0.505	
       0.588	      1.965	      1.143	      0.002	      0.002	      0.017	      0.548	
       0.549	      1.913	      1.199	      0.002	      0.002	      0.016	      0.501	
       0.549	      1.852	      1.121	      0.002	      0.002	      0.015	      0.489	
       0.574	      1.892	      1.136	      0.002	      0.002	      0.015	      0.519	
       0.546	      1.950	      1.199	      0.002	      0.002	      0.015	      0.490	
       0.556	      1.906	      1.116	      0.002	      0.002	      0.015	      0.485	
       0.548	      1.896	      1.130	      0.002	      0.002	      0.015	      0.482	
       0.560	      1.874	      1.100	      0.002	      0.002	      0.015	      0.495	
       0.557	      1.884	      1.126	      0.002	      0.002	      0.015	      0.485	
       0.558	      1.922	      1.145	      0.002	      0.002	      0.015	      0.484	
       0.572	      1.870	      1.094	      0.002	      0.002	      0.015	      0.490	
       0.538	      1.910	      1.131	      0.002	      0.002	      0.015	      0.485	
       0.552	      1.875	      1.162	      0.002	      0.002	      0.015	      0.488	
       0.542	      1.896	      1.115	      0.002	      0.001	      0.014	      0.487	
       0.554	      1.895	      1.153	      0.002	      0.002	      0.021	      0.586	
       0.573	      1.888	      1.108	      0.002	      0.001	      0.015	      0.490	
       0.550	      1.998	      1.144	      0.002	      0.001	      0.015	      0.492	
       0.624	      1.875	      1.016	      0.002	      0.001	      0.015	      0.492	
       0.553	      1.856	      1.226	      0.002	      0.002	      0.016	      0.488	
