Values recorded at: 14-Apr-2013 17:55:19

   Collision	    Weather	Deformation	    Buffers	

       0.131	      0.000	      2.334	      0.000	

       0.147	      0.000	      3.046	      0.000	
       0.122	      0.000	      3.027	      0.000	
       0.120	      0.000	      2.870	      0.000	
       0.121	      0.000	      2.945	      0.000	
       0.121	      0.000	      2.936	      0.000	
       0.119	      0.000	      2.899	      0.000	
       0.133	      0.000	      2.807	      0.000	
       0.123	      0.000	      2.921	      0.000	
       0.120	      0.000	      3.039	      0.000	
       0.120	      0.000	      3.070	      0.000	
       0.121	      0.000	      2.862	      0.000	
       0.125	      0.000	      3.056	      0.000	
       0.133	      0.000	      3.128	      0.000	
       0.122	      0.000	      3.048	      0.000	
       0.127	      0.000	      3.028	      0.000	
       0.121	      0.000	      2.795	      0.000	
       0.121	      0.000	      3.087	      0.000	
       0.119	      0.000	      2.789	      0.000	
       0.121	      0.000	      3.043	      0.000	
       0.138	      0.000	      3.022	      0.000	
       0.123	      0.000	      3.167	      0.000	
       0.119	      0.000	      2.853	      0.000	
       0.120	      0.000	      2.745	      0.000	
       0.118	      0.000	      2.834	      0.000	
       0.120	      0.000	      2.863	      0.000	
       0.121	      0.000	      3.677	      0.000	
       0.122	      0.000	      3.880	      0.000	
       0.112	      0.000	      4.137	      0.000	
       0.122	      0.000	      4.387	      0.000	
       0.126	      0.000	      4.383	      0.000	
       0.127	      0.000	      4.302	      0.000	
       0.119	      0.000	      4.197	      0.000	
       0.112	      0.000	      4.437	      0.000	
       0.120	      0.000	      4.382	      0.000	
       0.122	      0.000	      4.457	      0.000	
       0.123	      0.000	      4.286	      0.000	
       0.125	      0.000	      4.340	      0.000	
       0.121	      0.000	      4.364	      0.000	
       0.121	      0.000	      4.368	      0.000	
       0.119	      0.000	      4.366	      0.000	
       0.119	      0.000	      4.483	      0.000	
       0.121	      0.000	      4.273	      0.000	
       0.121	      0.000	      4.635	      0.000	
       0.138	      0.000	      4.331	      0.000	
       0.123	      0.000	      4.340	      0.000	
       0.121	      0.000	      4.387	      0.000	
       0.117	      0.000	      4.544	      0.000	
       0.121	      0.000	      4.336	      0.000	
       0.116	      0.000	      4.310	      0.000	
       0.120	      0.000	      4.406	      0.000	
       0.121	      0.000	      4.565	      0.000	
       0.141	      0.000	      4.275	      0.000	
       0.120	      0.000	      4.372	      0.000	
       0.120	      0.000	      4.372	      0.000	
       0.116	      0.000	      4.281	      0.000	
       0.121	      0.000	      4.325	      0.000	
       0.118	      0.000	      4.303	      0.000	
       0.121	      0.000	      4.244	      0.000	
       0.120	      0.000	      4.360	      0.000	
       0.120	      0.000	      4.510	      0.000	
       0.120	      0.000	      4.407	      0.000	
       0.120	      0.000	      4.183	      0.000	
       0.120	      0.000	      4.719	      0.000	
       0.121	      0.000	      4.599	      0.000	
       0.118	      0.000	      4.487	      0.000	
       0.120	      0.000	      4.281	      0.000	
       0.121	      0.000	      4.404	      0.000	
       0.121	      0.000	      4.674	      0.000	
       0.117	      0.000	      4.208	      0.000	
       0.121	      0.000	      4.280	      0.000	
       0.122	      0.000	      4.417	      0.000	
       0.118	      0.000	      4.500	      0.000	
       0.168	      0.000	      4.759	      0.000	
       0.120	      0.000	      4.458	      0.000	
       0.116	      0.000	      4.446	      0.000	
       0.127	      0.000	      4.533	      0.000	
       0.122	      0.000	      4.228	      0.000	
       0.124	      0.000	      4.623	      0.000	
       0.219	      0.000	      0.037	      0.000	
       0.120	      0.000	      0.035	      0.000	
       0.123	      0.000	      4.121	      0.000	
       0.116	      0.000	      4.169	      0.000	
       0.134	      0.000	      3.481	      0.000	
       0.119	      0.000	      3.365	      0.000	
       0.119	      0.000	      3.471	      0.000	
       0.121	      0.000	      3.769	      0.000	
       0.121	      0.000	      2.691	      0.000	
       0.120	      0.000	      2.802	      0.000	
       0.120	      0.000	      3.136	      0.000	
       0.119	      0.000	      2.989	      0.000	
       0.119	      0.000	      3.041	      0.000	
       0.120	      0.000	      3.037	      0.000	
       0.120	      0.000	      3.354	      0.000	
       0.121	      0.000	      2.979	      0.000	
       0.118	      0.000	      3.126	      0.000	
       0.123	      0.000	      3.100	      0.000	
       0.120	      0.000	      3.001	      0.000	
       0.121	      0.000	      3.010	      0.000	
       0.121	      0.000	      3.052	      0.000	
       0.121	      0.000	      3.185	      0.000	
       0.120	      0.000	      3.261	      0.000	
       0.121	      0.000	      3.114	      0.000	
       0.121	      0.000	      2.918	      0.000	
       0.118	      0.000	      3.144	      0.000	
       0.121	      0.000	      2.365	      0.000	
       0.123	      0.000	      2.334	      0.000	
       0.120	      0.000	      2.429	      0.000	
       0.129	      0.000	      2.405	      0.000	
       0.120	      0.000	      1.772	      0.000	
       0.119	      0.000	      1.656	      0.000	
       0.123	      0.000	      1.793	      0.000	
       0.120	      0.000	      1.911	      0.000	
       0.118	      0.000	      1.644	      0.000	
       0.116	      0.000	      1.760	      0.000	
       0.118	      0.000	      1.749	      0.000	
       0.120	      0.000	      1.782	      0.000	
       0.118	      0.000	      1.799	      0.000	
       0.122	      0.000	      1.770	      0.000	
       0.121	      0.000	      1.618	      0.000	
       0.118	      0.000	      1.575	      0.000	
       0.119	      0.000	      1.732	      0.000	
       0.119	      0.000	      1.809	      0.000	
       0.141	      0.000	      1.698	      0.000	
       0.119	      0.000	      1.762	      0.000	
       0.117	      0.000	      1.861	      0.000	
