Values recorded at: 29-Apr-2013 19:59:57

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.884	      1.027	      0.690	      0.001	      0.604	      0.002	      0.325	

       0.762	      0.961	      0.614	      0.001	      0.544	      0.002	      0.319	
       0.855	      1.028	      0.870	      0.001	      0.824	      0.002	      0.290	
       1.117	      0.972	      0.752	      0.000	      0.466	      0.004	      0.379	
       0.747	      0.948	      0.561	      0.000	      0.511	      0.001	      0.280	
       1.244	      1.219	      0.614	      0.001	      0.593	      0.002	      0.319	
       1.666	      1.009	      0.585	      0.000	      0.478	      0.002	      0.290	
       0.746	      0.948	      0.576	      0.000	      0.481	      0.001	      0.286	
       0.762	      1.016	      0.706	      0.001	      0.533	      0.001	      0.291	
       0.746	      0.990	      0.580	      0.000	      0.522	      0.001	      0.347	
       0.772	      1.005	      0.685	      0.001	      0.594	      0.003	      0.399	
       0.989	      0.966	      0.713	      0.001	      0.910	      0.002	      0.285	
       0.727	      1.081	      0.684	      0.001	      0.546	      0.002	      0.355	
       0.808	      0.969	      0.660	      0.000	      0.503	      0.001	      0.281	
       1.304	      0.965	      0.641	      0.001	      0.452	      0.002	      0.295	
       0.773	      1.004	      0.677	      0.001	      0.526	      0.002	      0.278	
       0.768	      0.955	      0.579	      0.001	      0.487	      0.002	      0.302	
       0.768	      0.951	      0.580	      0.001	      0.482	      0.002	      0.299	
       0.811	      1.004	      0.585	      0.001	      0.651	      0.003	      0.301	
       1.039	      1.124	      0.694	      0.001	      0.842	      0.003	      0.336	
       0.851	      0.946	      0.585	      0.000	      0.508	      0.002	      0.289	
       0.889	      1.151	      0.897	      0.001	      0.708	      0.006	      0.446	
       0.777	      1.013	      0.620	      0.001	      0.697	      0.002	      0.318	
       0.752	      0.957	      0.578	      0.000	      0.463	      0.001	      0.287	
       0.780	      1.012	      0.580	      0.000	      0.701	      0.002	      0.324	
       0.898	      1.228	      0.866	      0.000	      0.467	      0.002	      0.306	
       0.730	      1.046	      0.713	      0.000	      0.701	      0.003	      0.384	
       1.159	      1.022	      0.805	      0.000	      0.983	      0.002	      0.429	
       0.785	      1.014	      0.701	      0.000	      1.106	      0.004	      0.544	
       0.759	      1.155	      0.700	      0.000	      0.560	      0.003	      0.336	
       0.741	      0.959	      0.585	      0.000	      0.485	      0.002	      0.283	
       0.760	      1.014	      0.583	      0.001	      0.451	      0.003	      0.346	
       0.749	      0.949	      0.647	      0.000	      0.584	      0.002	      0.315	
       0.771	      1.004	      0.736	      0.001	      0.789	      0.003	      0.417	
       0.860	      1.015	      0.794	      0.001	      0.799	      0.002	      0.298	
       1.071	      0.954	      0.628	      0.001	      0.518	      0.004	      0.422	
       0.743	      0.950	      0.586	      0.001	      0.484	      0.001	      0.283	
       1.242	      1.248	      0.587	      0.001	      0.697	      0.003	      0.325	
       1.700	      1.054	      0.594	      0.000	      0.479	      0.003	      0.345	
       0.810	      1.021	      0.642	      0.000	      0.462	      0.002	      0.294	
       0.792	      0.983	      1.356	      0.000	      0.584	      0.003	      0.307	
       0.796	      1.024	      0.584	      0.000	      0.516	      0.005	      0.352	
       1.028	      0.978	      0.680	      0.001	      0.890	      0.002	      0.320	
       0.952	      0.977	      0.609	      0.001	      0.474	      0.001	      0.329	
       0.823	      1.206	      0.925	      0.001	      0.737	      0.007	      0.380	
       0.776	      0.981	      0.619	      0.000	      0.663	      0.002	      0.296	
       0.753	      1.123	      0.718	      0.000	      0.684	      0.002	      0.295	
       0.725	      0.978	      0.576	      0.000	      0.696	      0.003	      0.354	
       0.732	      0.996	      0.607	      0.001	      0.507	      0.001	      0.290	
       0.764	      1.013	      0.597	      0.000	      0.542	      0.002	      0.358	
       0.987	      0.972	      0.620	      0.001	      0.745	      0.002	      0.292	
       1.102	      1.278	      0.747	      0.000	      0.491	      0.003	      0.356	
       0.745	      0.984	      0.579	      0.001	      0.481	      0.002	      0.283	
       0.978	      1.016	      0.791	      0.002	      1.304	      0.002	      0.334	
       0.778	      1.232	      0.703	      0.000	      0.614	      0.003	      0.338	
       0.765	      1.298	      0.727	      0.000	      0.628	      0.002	      0.378	
       0.759	      0.974	      0.582	      0.000	      0.493	      0.001	      0.289	
       0.788	      1.013	      0.591	      0.000	      0.518	      0.002	      0.368	
