Values recorded at: 23-Apr-2013 13:11:05

   Collision	    Weather	Deformation	    Buffers	

       0.123	      0.000	      6.798	      0.000	

       0.120	      0.000	      6.566	      0.000	
       0.118	      0.000	      6.695	      0.000	
       0.114	      0.000	      6.749	      0.000	
       0.118	      0.000	      6.886	      0.000	
       0.122	      0.000	      7.120	      0.000	
       0.118	      0.000	      7.014	      0.000	
       0.118	      0.000	      6.822	      0.000	
       0.118	      0.000	      6.616	      0.000	
       0.118	      0.000	      6.695	      0.000	
       0.119	      0.000	      6.603	      0.000	
       0.118	      0.000	      6.771	      0.000	
       0.131	      0.000	      6.599	      0.000	
       0.266	      0.000	      6.638	      0.000	
       0.143	      0.000	      6.610	      0.000	
       0.146	      0.000	      6.639	      0.000	
       0.118	      0.000	      6.848	      0.000	
       0.119	      0.000	      6.826	      0.000	
       0.118	      0.000	      6.764	      0.000	
       0.120	      0.000	      6.789	      0.000	
       0.111	      0.000	      6.855	      0.000	
       0.118	      0.000	      7.044	      0.000	
       0.118	      0.000	      6.865	      0.000	
       0.125	      0.000	      6.681	      0.000	
       0.118	      0.000	      6.846	      0.000	
       0.114	      0.000	      6.995	      0.000	
       0.118	      0.000	      7.089	      0.000	
       0.117	      0.000	      6.868	      0.000	
       0.118	      0.000	      6.748	      0.000	
       0.118	      0.000	      6.850	      0.000	
       0.119	      0.000	      7.088	      0.000	
       0.119	      0.000	      7.032	      0.000	
       0.118	      0.000	      6.844	      0.000	
       0.121	      0.000	      6.886	      0.000	
       0.119	      0.000	      6.924	      0.000	
       0.119	      0.000	      7.342	      0.000	
       0.122	      0.000	      7.218	      0.000	
       0.111	      0.000	      7.252	      0.000	
       0.112	      0.000	      7.367	      0.000	
       0.119	      0.000	      7.360	      0.000	
       0.119	      0.000	      7.446	      0.000	
       0.129	      0.000	      7.435	      0.000	
       0.124	      0.000	      7.055	      0.000	
       0.131	      0.000	      7.240	      0.000	
       0.128	      0.000	      7.398	      0.000	
       0.119	      0.000	      7.236	      0.000	
       0.120	      0.000	      7.465	      0.000	
       0.115	      0.000	      7.350	      0.000	
       0.136	      0.000	      7.575	      0.000	
       0.122	      0.000	      7.718	      0.000	
       0.119	      0.000	      7.810	      0.000	
       0.121	      0.000	      7.537	      0.000	
       0.130	      0.000	      0.053	      0.000	
       0.115	      0.000	      0.042	      0.000	
       0.119	      0.000	      0.040	      0.000	
       0.115	      0.000	      0.041	      0.000	
       0.124	      0.000	      0.041	      0.000	
       0.115	      0.000	      0.038	      0.000	
       0.112	      0.000	      0.040	      0.000	
       0.127	      0.000	      0.041	      0.000	
       0.122	      0.000	      0.044	      0.000	
       0.119	      0.000	      7.450	      0.000	
       0.117	      0.000	      7.546	      0.000	
       0.121	      0.000	      7.504	      0.000	
       0.165	      0.000	      7.491	      0.000	
       0.118	      0.000	      7.414	      0.000	
       0.115	      0.000	      7.296	      0.000	
       0.119	      0.000	      7.499	      0.000	
       0.133	      0.000	      7.442	      0.000	
       0.135	      0.000	      7.566	      0.000	
       0.134	      0.000	      7.662	      0.000	
       0.135	      0.000	      7.745	      0.000	
       0.136	      0.000	      7.888	      0.000	
       0.133	      0.000	      7.639	      0.000	
       0.138	      0.000	      7.851	      0.000	
       0.138	      0.000	      7.742	      0.000	
       0.136	      0.000	      7.938	      0.000	
       0.140	      0.000	      7.540	      0.000	
       0.133	      0.000	      7.743	      0.000	
       0.141	      0.000	      7.833	      0.000	
       0.142	      0.000	      7.624	      0.000	
       0.136	      0.000	      7.828	      0.000	
       0.137	      0.000	      7.612	      0.000	
       0.142	      0.000	      7.724	      0.000	
       0.138	      0.000	      7.934	      0.000	
       0.120	      0.000	      7.556	      0.000	
       0.152	      0.000	      7.442	      0.000	
       0.118	      0.000	      7.597	      0.000	
       0.119	      0.000	      7.353	      0.000	
       0.115	      0.000	      7.316	      0.000	
       0.119	      0.000	      7.299	      0.000	
       0.121	      0.000	      7.264	      0.000	
       0.133	      0.000	      7.164	      0.000	
       0.121	      0.000	      7.434	      0.000	
       0.115	      0.000	      7.225	      0.000	
       0.126	      0.000	      7.352	      0.000	
       0.120	      0.000	      7.613	      0.000	
       0.135	      0.000	      7.475	      0.000	
       0.136	      0.000	      7.551	      0.000	
       0.114	      0.000	      7.393	      0.000	
       0.115	      0.000	      7.374	      0.000	
       0.128	      0.000	      7.387	      0.000	
       0.142	      0.000	      7.536	      0.000	
       0.120	      0.000	      7.376	      0.000	
       0.118	      0.000	      7.365	      0.000	
       0.119	      0.000	      7.317	      0.000	
       0.120	      0.000	      7.376	      0.000	
       0.132	      0.000	      7.278	      0.000	
       0.126	      0.000	      7.532	      0.000	
       0.133	      0.000	      7.583	      0.000	
       0.112	      0.000	      7.420	      0.000	
       0.126	      0.000	      7.511	      0.000	
       0.125	      0.000	      7.280	      0.000	
       0.119	      0.000	      7.282	      0.000	
       0.118	      0.000	      7.482	      0.000	
       0.119	      0.000	      7.285	      0.000	
       0.118	      0.000	      7.395	      0.000	
       0.111	      0.000	      7.341	      0.000	
       0.118	      0.000	      7.285	      0.000	
       0.112	      0.000	      7.278	      0.000	
       0.121	      0.000	      7.305	      0.000	
       0.128	      0.000	      7.396	      0.000	
       0.139	      0.000	      7.477	      0.000	
       0.119	      0.000	      7.476	      0.000	
       0.120	      0.000	      7.559	      0.000	
       0.118	      0.000	      7.389	      0.000	
       0.119	      0.000	      7.192	      0.000	
       0.172	      0.000	      7.520	      0.000	
       0.119	      0.000	      7.589	      0.000	
       0.115	      0.000	      7.222	      0.000	
       0.139	      0.000	      7.512	      0.000	
       0.118	      0.000	      7.525	      0.000	
       0.123	      0.000	      7.347	      0.000	
       0.123	      0.000	      7.462	      0.000	
       0.124	      0.000	      7.655	      0.000	
       0.120	      0.000	      7.533	      0.000	
       0.121	      0.000	      7.537	      0.000	
       0.133	      0.000	      7.441	      0.000	
       0.119	      0.000	      7.614	      0.000	
       0.121	      0.000	      7.498	      0.000	
       0.118	      0.000	      7.532	      0.000	
       0.130	      0.000	      7.431	      0.000	
       0.136	      0.000	      7.513	      0.000	
       0.118	      0.000	      7.603	      0.000	
       0.135	      0.000	      7.606	      0.000	
       0.122	      0.000	      7.293	      0.000	
       0.119	      0.000	      7.320	      0.000	
       0.131	      0.000	     41.216	      0.000	
       0.122	      0.000	      7.266	      0.000	
       0.119	      0.000	      7.445	      0.000	
       0.119	      0.000	      7.152	      0.000	
       0.118	      0.000	      7.174	      0.000	
       0.119	      0.000	      7.237	      0.000	
       0.118	      0.000	      7.108	      0.000	
       0.119	      0.000	      7.072	      0.000	
       0.110	      0.000	      7.069	      0.000	
       0.115	      0.000	      7.246	      0.000	
       0.119	      0.000	      7.345	      0.000	
       0.119	      0.000	      7.294	      0.000	
       0.118	      0.000	      0.042	      0.000	
       0.125	      0.000	      0.045	      0.000	
       0.118	      0.000	      0.050	      0.000	
       0.121	      0.000	      0.050	      0.000	
       0.114	      0.000	      0.049	      0.000	
       0.122	      0.000	      0.049	      0.000	
       0.121	      0.000	      0.045	      0.000	
       0.124	      0.000	      6.459	      0.000	
       0.120	      0.000	      7.194	      0.000	
       0.129	      0.000	      6.958	      0.000	
       0.119	      0.000	      7.001	      0.000	
       0.122	      0.000	      7.103	      0.000	
       0.111	      0.000	      6.942	      0.000	
       0.118	      0.000	      6.932	      0.000	
       0.115	      0.000	      7.014	      0.000	
       0.121	      0.000	      6.938	      0.000	
       0.115	      0.000	      6.806	      0.000	
       0.118	      0.000	      6.989	      0.000	
       0.118	      0.000	      7.090	      0.000	
