Values recorded at: 17-Oct-2013 15:01:33

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.317	      3.565	      0.276	      0.001	      0.001	      0.014	      0.426	

       0.302	      3.534	      0.255	      0.001	      0.001	      0.012	      0.419	
       0.313	      3.551	      0.297	      0.001	      0.001	      0.013	      0.408	
       0.304	      3.564	      0.288	      0.001	      0.000	      0.012	      0.479	
       0.306	      3.588	      0.263	      0.001	      0.000	      0.012	      0.424	
       0.336	      3.617	      0.265	      0.001	      0.000	      0.013	      0.419	
       0.324	      3.650	      0.292	      0.001	      0.001	      0.015	      0.430	
       0.319	      3.464	      0.304	      0.001	      0.000	      0.015	      0.437	
       0.311	      3.548	      0.269	      0.001	      0.001	      0.014	      0.415	
       0.318	      3.550	      0.256	      0.001	      0.000	      0.012	      0.407	
       0.302	      3.581	      0.265	      0.001	      0.000	      0.012	      0.411	
       0.308	      3.528	      0.290	      0.001	      0.000	      0.013	      0.385	
       0.298	      3.637	      0.306	      0.001	      0.000	      0.013	      0.561	
       0.310	      3.733	      0.262	      0.001	      0.001	      0.013	      0.397	
       0.311	      3.705	      0.263	      0.001	      0.001	      0.014	      0.401	
       0.306	      3.403	      0.298	      0.001	      0.001	      0.012	      0.588	
       0.313	      3.507	      0.249	      0.000	      0.000	      0.015	      0.429	
       0.308	      3.596	      0.263	      0.001	      0.000	      0.013	      0.409	
       0.298	      3.531	      0.283	      0.001	      0.001	      0.012	      0.472	
       0.306	      3.470	      0.285	      0.001	      0.001	      0.014	      0.410	
       0.317	      3.565	      0.285	      0.002	      0.001	      0.012	      0.389	
       0.310	      3.540	      0.266	      0.001	      0.001	      0.014	      0.406	
       0.297	      3.560	      0.255	      0.001	      0.000	      0.012	      0.393	
       0.310	      3.515	      0.255	      0.001	      0.000	      0.012	      0.398	
       0.302	      3.565	      0.278	      0.001	      0.000	      0.012	      0.456	
       0.306	      3.637	      0.264	      0.001	      0.001	      0.014	      0.413	
       0.322	      3.634	      0.266	      0.001	      0.000	      0.014	      0.411	
       0.312	      3.519	      0.266	      0.001	      0.000	      0.014	      0.426	
       0.333	      3.544	      0.281	      0.001	      0.001	      0.012	      0.403	
       0.319	      3.582	      0.266	      0.001	      0.000	      0.012	      0.391	
       0.310	      3.553	      0.268	      0.001	      0.000	      0.012	      0.397	
       0.307	      3.639	      0.263	      0.001	      0.000	      0.013	      0.404	
       0.313	      3.606	      0.265	      0.001	      0.001	      0.014	      0.419	
       0.297	      3.420	      0.280	      0.001	      0.001	      0.013	      0.485	
       0.320	      3.592	      0.292	      0.001	      0.000	      0.012	      0.446	
       0.295	      3.552	      0.255	      0.001	      0.001	      0.012	      0.384	
       0.306	      3.652	      0.253	      0.001	      0.001	      0.012	      0.403	
       0.308	      3.517	      0.263	      0.001	      0.000	      0.015	      0.428	
       0.555	      3.576	      0.292	      0.001	      0.001	      0.014	      0.407	
       0.312	      3.479	      0.297	      0.001	      0.001	      0.013	      0.479	
       0.309	      3.561	      0.265	      0.001	      0.001	      0.014	      0.413	
       0.299	      3.516	      0.277	      0.001	      0.000	      0.013	      0.423	
       0.313	      3.560	      0.283	      0.001	      0.001	      0.013	      0.388	
       0.296	      3.593	      0.277	      0.001	      0.000	      0.023	      0.476	
       0.384	      3.543	      0.269	      0.001	      0.001	      0.014	      0.431	
       0.325	      3.595	      0.274	      0.002	      0.001	      0.015	      0.434	
       0.310	      3.727	      0.264	      0.001	      0.001	      0.012	      0.416	
       0.300	      3.638	      0.282	      0.001	      0.001	      0.013	      0.417	
       0.313	      3.638	      0.276	      0.001	      0.001	      0.013	      0.549	
       0.298	      3.622	      0.275	      0.001	      0.000	      0.012	      0.399	
       0.309	      3.460	      0.346	      0.001	      0.000	      0.013	      0.408	
       0.314	      3.671	      0.287	      0.001	      0.001	      0.012	      0.394	
       0.295	      3.590	      0.254	      0.001	      0.001	      0.012	      0.414	
       0.323	      3.552	      0.256	      0.001	      0.000	      0.013	      0.423	
       0.331	      3.471	      0.308	      0.001	      0.001	      0.017	      0.464	
       0.325	      3.605	      0.304	      0.002	      0.000	      0.018	      0.440	
       0.570	      3.639	      0.288	      0.001	      0.001	      0.018	      0.439	
       0.336	      3.566	      0.281	      0.002	      0.001	      0.019	      0.437	
       0.327	      3.554	      0.262	      0.001	      0.001	      0.020	      0.436	
       0.303	      3.392	      0.289	      0.001	      0.001	      0.018	      0.443	
       0.305	      3.477	      0.261	      0.001	      0.000	      0.020	      0.494	
       0.390	      3.510	      0.295	      0.002	      0.001	      0.018	      0.432	
       0.380	      3.468	      0.271	      0.001	      0.000	      0.017	      0.427	
       0.299	      3.512	      0.299	      0.001	      0.001	      0.017	      0.422	
       0.319	      3.409	      0.261	      0.001	      0.001	      0.017	      0.428	
       0.304	      3.603	      0.275	      0.001	      0.001	      0.014	      0.423	
       0.307	      3.611	      0.278	      0.001	      0.000	      0.014	      0.405	
       0.300	      3.506	      0.284	      0.001	      0.001	      0.016	      0.437	
       0.313	      3.736	      0.306	      0.001	      0.002	      0.016	      0.428	
       0.310	      3.524	      0.270	      0.001	      0.000	      0.012	      0.403	
       0.296	      3.427	      0.255	      0.001	      0.001	      0.012	      0.392	
       0.299	      3.524	      0.290	      0.001	      0.001	      0.013	      0.421	
       0.316	      3.516	      0.287	      0.001	      0.001	      0.013	      0.466	
       0.319	      3.666	      0.257	      0.001	      0.001	      0.014	      0.410	
       0.354	      3.496	      0.278	      0.001	      0.001	      0.014	      0.409	
       0.306	      3.550	      0.265	      0.001	      0.001	      0.013	      0.412	
       0.298	      3.458	      0.279	      0.001	      0.001	      0.015	      0.403	
       0.313	      3.547	      0.263	      0.001	      0.000	      0.013	      0.408	
       0.313	      3.587	      0.266	      0.001	      0.001	      0.014	      0.454	
       0.301	      3.754	      0.276	      0.001	      0.000	      0.013	      0.402	
       0.396	      3.584	      0.268	      0.001	      0.001	      0.013	      0.428	
       0.318	      3.477	      0.278	      0.001	      0.001	      0.012	      0.454	
       0.317	      3.544	      0.284	      0.001	      0.000	      0.013	      0.419	
       0.295	      3.615	      0.362	      0.001	      0.000	      0.013	      0.458	
       0.304	      3.561	      0.263	      0.001	      0.000	      0.012	      0.398	
       0.305	      3.628	      0.272	      0.001	      0.001	      0.013	      0.410	
       0.353	      3.674	      0.285	      0.001	      0.000	      0.013	      0.475	
       0.325	      3.616	      0.279	      0.001	      0.000	      0.013	      0.390	
       0.311	      3.550	      0.264	      0.001	      0.000	      0.013	      0.431	
       0.317	      3.636	      0.268	      0.001	      0.001	      0.014	      0.434	
       0.300	      3.528	      0.284	      0.001	      0.001	      0.012	      0.382	
       0.347	      3.480	      0.287	      0.001	      0.000	      0.014	      0.425	
       0.524	      3.563	      0.274	      0.001	      0.001	      0.013	      0.402	
       0.308	      3.607	      0.264	      0.001	      0.001	      0.012	      0.399	
       0.312	      3.543	      0.255	      0.001	      0.001	      0.013	      0.410	
       0.348	      3.658	      0.298	      0.001	      0.000	      0.018	      0.435	
       0.331	      3.515	      0.260	      0.001	      0.000	      0.024	      0.593	
       0.314	      3.708	      0.255	      0.001	      0.001	      0.014	      0.423	
       0.301	      3.502	      0.287	      0.001	      0.001	      0.013	      0.402	
       0.297	      3.619	      0.301	      0.001	      0.000	      0.013	      0.410	
       0.310	      3.628	      0.263	      0.001	      0.000	      0.013	      0.405	
       0.316	      3.590	      0.265	      0.001	      0.000	      0.013	      0.411	
       0.307	      3.388	      0.289	      0.001	      0.001	      0.013	      0.419	
       0.307	      3.714	      0.291	      0.001	      0.000	      0.013	      0.411	
       0.301	      3.554	      0.257	      0.000	      0.000	      0.013	      0.378	
       0.306	      3.574	      0.263	      0.001	      0.000	      0.012	      0.383	
       0.310	      3.702	      0.263	      0.001	      0.001	      0.012	      0.397	
       0.304	      3.719	      0.291	      0.001	      0.001	      0.013	      0.390	
       0.297	      3.488	      0.257	      0.001	      0.001	      0.012	      0.415	
       0.302	      3.585	      0.256	      0.001	      0.001	      0.014	      0.424	
       0.317	      3.565	      0.265	      0.001	      0.000	      0.012	      0.383	
       0.295	      3.521	      0.285	      0.001	      0.001	      0.012	      0.396	
       0.304	      3.496	      0.262	      0.001	      0.000	      0.013	      0.422	
       0.307	      3.615	      0.264	      0.001	      0.001	      0.013	      0.400	
       0.297	      3.546	      0.286	      0.001	      0.000	      0.013	      0.411	
       0.319	      3.686	      0.280	      0.001	      0.001	      0.013	      0.425	
       0.314	      3.492	      0.319	      0.001	      0.001	      0.013	      0.557	
       0.312	      3.526	      0.266	      0.001	      0.001	      0.013	      0.391	
       0.335	      3.469	      0.266	      0.001	      0.001	      0.015	      0.424	
       0.315	      3.548	      0.258	      0.001	      0.000	      0.013	      0.429	
       0.318	      3.526	      0.288	      0.001	      0.001	      0.014	      0.453	
       0.299	      3.576	      0.255	      0.001	      0.000	      0.013	      0.417	
       0.331	      3.581	      0.278	      0.001	      0.001	      0.012	      0.397	
       0.307	      3.539	      0.265	      0.001	      0.000	      0.022	      0.422	
       0.317	      3.486	      0.279	      0.001	      0.001	      0.015	      0.396	
       0.300	      3.614	      0.256	      0.001	      0.001	      0.012	      0.461	
       0.319	      3.555	      0.270	      0.001	      0.000	      0.014	      0.421	
       0.298	      3.665	      0.275	      0.001	      0.001	      0.014	      0.414	
       0.318	      3.692	      0.277	      0.001	      0.000	      0.013	      0.428	
       0.325	      3.577	      0.295	      0.001	      0.001	      0.015	      0.423	
       0.313	      3.483	      0.306	      0.001	      0.001	      0.012	      0.425	
       0.306	      3.594	      0.256	      0.001	      0.000	      0.013	      0.404	
       0.304	      3.604	      0.273	      0.001	      0.001	      0.012	      0.406	
       0.316	      3.611	      0.256	      0.001	      0.000	      0.013	      0.400	
       0.296	      3.593	      0.316	      0.001	      0.001	      0.013	      0.407	
       0.312	      3.540	      0.288	      0.001	      0.000	      0.012	      0.457	
       0.298	      3.523	      0.276	      0.001	      0.001	      0.013	      0.415	
       0.306	      3.585	      0.264	      0.001	      0.000	      0.013	      0.390	
       0.298	      3.522	      0.277	      0.001	      0.000	      0.013	      0.419	
       0.307	      3.542	      0.292	      0.001	      0.001	      0.015	      0.541	
       0.311	      3.613	      0.265	      0.001	      0.000	      0.015	      0.485	
       0.313	      3.477	      0.259	      0.001	      0.000	      0.014	      0.417	
       0.301	      3.494	      0.257	      0.001	      0.000	      0.012	      0.420	
       0.338	      3.425	      0.307	      0.001	      0.000	      0.015	      0.422	
       0.315	      3.586	      0.303	      0.006	      0.000	      0.013	      0.439	
       0.309	      3.677	      0.277	      0.001	      0.000	      0.014	      0.393	
       0.308	      3.744	      0.331	      0.001	      0.001	      0.013	      0.417	
       0.318	      3.628	      0.300	      0.001	      0.000	      0.015	      0.420	
       0.323	      3.562	      0.256	      0.000	      0.001	      0.012	      0.393	
       0.313	      3.530	      0.265	      0.001	      0.000	      0.013	      0.417	
       0.331	      3.570	      0.283	      0.001	      0.001	      0.012	      0.401	
       0.309	      3.629	      0.299	      0.001	      0.000	      0.014	      0.420	
       0.351	      3.562	      0.265	      0.001	      0.001	      0.013	      0.464	
       0.309	      3.519	      0.263	      0.001	      0.000	      0.012	      0.414	
       0.307	      3.421	      0.261	      0.001	      0.001	      0.013	      0.397	
       0.305	      3.593	      0.292	      0.001	      0.000	      0.012	      0.399	
       0.311	      3.506	      0.254	      0.001	      0.000	      0.013	      0.382	
       0.299	      3.541	      0.266	      0.001	      0.001	      0.015	      0.474	
       0.304	      3.603	      0.277	      0.001	      0.000	      0.013	      0.412	
       0.319	      3.512	      0.286	      0.001	      0.000	      0.022	      0.393	
       0.306	      3.515	      0.263	      0.001	      0.000	      0.012	      0.409	
       0.301	      3.518	      0.255	      0.001	      0.000	      0.013	      0.459	
       0.310	      3.540	      0.292	      0.001	      0.000	      0.015	      0.420	
       0.320	      3.632	      0.281	      0.001	      0.001	      0.013	      0.415	
       0.325	      3.581	      0.270	      0.001	      0.000	      0.014	      0.405	
       0.309	      3.503	      0.257	      0.001	      0.001	      0.014	      0.375	
