Values recorded at: 07-Apr-2013 17:46:23

   Collision	    Weather	Deformation	    Buffers	

       0.115	      0.000	     11.486	      0.001	
       0.121	      0.000	     10.529	      0.000	
       0.116	      0.000	     11.268	      0.001	
       0.119	      0.000	     10.907	      0.001	
       0.114	      0.000	     11.621	      0.001	
       0.115	      0.000	     10.197	      0.000	
       0.109	      0.000	     10.925	      0.000	
       0.115	      0.000	     12.010	      0.001	
       0.117	      0.000	     11.215	      0.001	
       0.126	      0.000	     10.272	      0.000	
       0.133	      0.000	     11.231	      0.000	
       0.126	      0.000	     11.882	      0.000	
       0.130	      0.000	     11.180	      0.000	
       0.137	      0.000	     11.070	      0.000	
       0.136	      0.000	     12.225	      0.000	
       0.130	      0.000	     12.271	      0.000	
       0.148	      0.000	     10.650	      0.001	
       0.125	      0.000	     11.157	      0.000	
       0.122	      0.000	     11.742	      0.001	
       0.130	      0.000	     11.220	      0.000	
       0.130	      0.000	     11.159	      0.000	
       0.137	      0.000	     11.834	      0.001	
       0.137	      0.000	     11.145	      0.000	
       0.132	      0.000	     11.900	      0.000	
       0.134	      0.000	     11.147	      0.000	
       0.126	      0.000	     11.914	      0.000	
       0.133	      0.000	     10.443	      0.001	
       0.135	      0.000	     10.780	      0.000	
       0.143	      0.000	     11.870	      0.000	
       0.177	      0.000	     11.572	      0.001	
       0.133	      0.000	     10.155	      0.001	
       0.133	      0.000	     11.360	      0.000	
       0.136	      0.000	     10.984	      0.000	
       0.136	      0.000	     10.320	      0.001	
       0.132	      0.000	     10.687	      0.000	
       0.130	      0.000	     11.851	      0.001	
       0.131	      0.000	     11.448	      0.001	
       0.130	      0.000	     10.519	      0.000	
       0.128	      0.000	     11.641	      0.000	
       0.167	      0.000	     10.762	      0.002	
       0.136	      0.000	     11.894	      0.000	
       0.145	      0.000	     10.534	      0.000	
       0.128	      0.000	     10.898	      0.000	
       0.141	      0.000	     10.874	      0.000	
       0.136	      0.000	     10.971	      0.000	
       0.136	      0.000	     11.968	      0.000	
       0.145	      0.000	     11.114	      0.000	
       0.138	      0.000	     11.104	      0.000	
       0.130	      0.000	     11.932	      0.000	
       0.132	      0.000	     12.044	      0.000	
       0.128	      0.000	     11.018	      0.001	
       0.130	      0.000	     11.764	      0.001	
       0.129	      0.000	     11.345	      0.000	
       0.129	      0.000	     11.961	      0.000	
       0.131	      0.000	     10.228	      0.001	
       0.129	      0.000	     11.311	      0.000	
       0.132	      0.000	     11.728	      0.000	
       0.133	      0.000	     11.954	      0.002	
       0.130	      0.000	     11.093	      0.001	
       0.134	      0.000	     11.616	      0.000	
       0.119	      0.000	     11.154	      0.000	
       0.117	      0.000	      9.116	      0.000	
       0.117	      0.000	      9.908	      0.000	
       0.125	      0.000	     10.719	      0.000	
       0.113	      0.000	      9.898	      0.000	
       0.121	      0.000	     10.304	      0.000	
       0.125	      0.000	     10.330	      0.000	
       0.113	      0.000	      9.793	      0.000	
       0.116	      0.000	     10.101	      0.000	
       0.120	      0.000	     10.151	      0.000	
       0.117	      0.000	      9.557	      0.000	
       0.124	      0.000	     10.649	      0.000	
       0.126	      0.000	     10.391	      0.000	
       0.117	      0.000	      9.945	      0.000	
       0.120	      0.000	     10.562	      0.000	
       0.118	      0.000	      9.932	      0.000	
       0.118	      0.000	      9.376	      0.000	
       0.125	      0.000	     10.306	      0.000	
       0.113	      0.000	     10.036	      0.000	
       0.118	      0.000	     10.196	      0.000	
       0.116	      0.000	     10.510	      0.000	
       0.117	      0.000	     10.604	      0.000	
       0.125	      0.000	      9.813	      0.000	
       0.121	      0.000	     10.438	      0.000	
       0.115	      0.000	     10.283	      0.000	
       0.118	      0.000	      9.936	      0.000	
       0.118	      0.000	     10.319	      0.000	
       0.117	      0.000	     11.225	      0.000	
       0.122	      0.000	     10.219	      0.000	
       0.117	      0.000	     10.845	      0.001	
       0.128	      0.000	     10.514	      0.000	
       0.116	      0.000	      9.818	      0.000	
       0.120	      0.000	     11.214	      0.000	
       0.128	      0.000	     10.636	      0.001	
       0.113	      0.000	      9.428	      0.000	
       0.113	      0.000	     10.543	      0.000	
       0.116	      0.000	     11.043	      0.000	
       0.116	      0.000	      9.988	      0.000	
       0.119	      0.000	      9.990	      0.001	
       0.117	      0.000	     11.586	      0.000	
       0.114	      0.000	     10.203	      0.000	
       0.116	      0.000	     10.632	      0.000	
       0.121	      0.000	     11.086	      0.000	
       0.110	      0.000	     10.108	      0.000	
       0.117	      0.000	     10.928	      0.000	
       0.124	      0.000	     10.429	      0.000	
       0.121	      0.000	     10.322	      0.000	
       0.120	      0.000	     10.420	      0.000	
       0.116	      0.000	     11.703	      0.000	
       0.113	      0.000	      9.426	      0.000	
       0.112	      0.000	      9.420	      0.000	
       0.115	      0.000	     10.466	      0.000	
       0.120	      0.000	     10.100	      0.000	
       0.115	      0.000	     10.390	      0.000	
       0.117	      0.000	     10.742	      0.000	
       0.125	      0.000	     10.070	      0.000	
       0.119	      0.000	     10.986	      0.000	
       0.119	      0.000	     11.204	      0.000	
       0.109	      0.000	     10.697	      0.000	
       0.116	      0.000	     10.281	      0.000	
       0.121	      0.000	     10.531	      0.000	
       0.116	      0.000	     10.036	      0.000	
       0.116	      0.000	     10.464	      0.000	
       0.118	      0.000	      9.957	      0.000	
       0.116	      0.000	     11.061	      0.000	
       0.117	      0.000	      9.725	      0.000	
       0.122	      0.000	     10.366	      0.000	
       0.116	      0.000	     11.134	      0.000	
       0.117	      0.000	     10.486	      0.000	
       0.119	      0.000	     10.887	      0.000	
       0.116	      0.000	     11.197	      0.000	
       0.115	      0.000	     10.495	      0.000	
       0.115	      0.000	     10.938	      0.000	
       0.116	      0.000	     10.317	      0.000	
       0.116	      0.000	     10.273	      0.000	
       0.116	      0.000	     11.216	      0.000	
       0.112	      0.000	     11.321	      0.000	
       0.115	      0.000	     10.402	      0.000	
       0.115	      0.000	     10.662	      0.000	
       0.112	      0.000	     10.384	      0.000	
       0.133	      0.000	     11.502	      0.000	
       0.134	      0.000	     10.036	      0.000	
       0.134	      0.000	     10.622	      0.000	
       0.139	      0.000	     11.370	      0.000	
       0.127	      0.000	     11.080	      0.000	
       0.127	      0.000	     10.043	      0.000	
       0.133	      0.000	     11.063	      0.000	
       0.129	      0.000	      9.394	      0.000	
       0.132	      0.000	      9.917	      0.000	
       0.139	      0.000	     10.567	      0.000	
       0.131	      0.000	     10.051	      0.000	
       0.138	      0.000	     11.194	      0.000	
       0.130	      0.000	     11.407	      0.000	
       0.132	      0.000	     10.161	      0.000	
       0.123	      0.000	     10.709	      0.000	
       0.133	      0.000	     10.520	      0.000	
       0.133	      0.000	      9.758	      0.000	
       0.141	      0.000	     10.836	      0.000	
       0.132	      0.000	     11.135	      0.000	
       0.132	      0.000	     10.282	      0.000	
       0.139	      0.000	     10.556	      0.000	
       0.139	      0.000	     10.949	      0.000	
       0.128	      0.000	     10.640	      0.000	
       0.141	      0.000	     10.343	      0.000	
       0.135	      0.000	     10.972	      0.000	
       0.134	      0.000	     10.319	      0.000	
       0.129	      0.000	     10.798	      0.000	
       0.137	      0.000	     10.949	      0.000	
       0.135	      0.000	     10.347	      0.000	
       0.139	      0.000	     11.728	      0.000	
       0.148	      0.000	     11.222	      0.000	
       0.145	      0.000	     11.281	      0.000	
       0.123	      0.000	     10.235	      0.000	
       0.139	      0.000	     11.205	      0.000	
       0.147	      0.000	     11.292	      0.000	
       0.134	      0.000	     10.420	      0.000	
       0.128	      0.000	     11.400	      0.000	
       0.132	      0.000	     11.031	      0.000	
       0.135	      0.000	     11.439	      0.000	
       0.132	      0.000	     10.237	      0.000	
       0.134	      0.000	     11.607	      0.000	
       0.142	      0.000	     10.515	      0.000	
       0.131	      0.000	     10.275	      0.000	
       0.136	      0.000	     11.321	      0.000	
       0.131	      0.000	     10.700	      0.000	
       0.131	      0.000	     11.180	      0.000	
       0.131	      0.000	     11.678	      0.000	
       0.140	      0.000	     11.087	      0.001	
       0.145	      0.000	     10.638	      0.000	
       0.132	      0.000	     11.028	      0.000	
       0.143	      0.000	     10.478	      0.001	
       0.132	      0.000	     10.465	      0.000	
       0.146	      0.000	     10.795	      0.000	
       0.145	      0.000	     10.722	      0.000	
       0.135	      0.000	     10.706	      0.000	
       0.143	      0.000	     10.648	      0.000	
       0.130	      0.000	     11.743	      0.000	
       0.133	      0.000	     11.347	      0.001	
       0.132	      0.000	     11.004	      0.000	
       0.132	      0.000	     11.351	      0.000	
       0.133	      0.000	     10.836	      0.000	
       0.131	      0.000	     10.671	      0.001	
       0.127	      0.000	     11.502	      0.001	
       0.142	      0.000	     10.822	      0.000	
       0.130	      0.000	     11.049	      0.000	
       0.152	      0.000	     10.779	      0.000	
       0.133	      0.000	     11.431	      0.000	
       0.126	      0.000	     10.711	      0.001	
       0.148	      0.000	     11.448	      0.001	
       0.133	      0.000	     10.413	      0.000	
       0.131	      0.000	     10.869	      0.001	
       0.140	      0.000	     11.269	      0.000	
       0.141	      0.000	     11.863	      0.001	
       0.133	      0.000	     11.601	      0.001	
       0.136	      0.000	      9.768	      0.000	
       0.131	      0.000	     10.594	      0.000	
       0.145	      0.000	     10.265	      0.001	
       0.130	      0.000	     10.577	      0.001	
       0.134	      0.000	     10.891	      0.001	
       0.134	      0.000	     10.529	      0.000	
       0.156	      0.000	     11.518	      0.000	
       0.147	      0.000	     10.260	      0.001	
       0.131	      0.000	     11.568	      0.000	
       0.153	      0.000	     10.788	      0.000	
       0.134	      0.000	     10.445	      0.000	
       0.127	      0.000	     10.920	      0.000	
       0.116	      0.000	     10.012	      0.001	
       0.133	      0.000	     11.504	      0.000	
       0.142	      0.000	     10.848	      0.009	
       0.131	      0.000	     10.936	      0.000	
       0.133	      0.000	     10.847	      0.000	
       0.130	      0.000	     12.254	      0.000	
       0.139	      0.000	     11.213	      0.001	
       0.131	      0.000	     10.862	      0.000	
       0.131	      0.000	     10.526	      0.000	
       0.136	      0.000	     10.714	      0.001	
       0.133	      0.000	     11.486	      0.001	
       0.138	      0.000	     11.577	      0.001	
       0.135	      0.000	     11.244	      0.000	
       0.111	      0.000	     10.715	      0.000	
 
